"type","id","created","modified","mitre_attack_id","created_by_ref","relationship_type","source_ref","target_ref","object_marking_refs","spec_version","x_mitre_attack_spec_version","x_mitre_domains","x_mitre_modified_by_ref","x_mitre_version","description","external_references"
"relationship","relationship--a48d44d2-a84c-45dc-9a59-2bc21f2f2301","2017-12-14T16:46:06.044Z","2018-01-17T12:56:55.080Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","mitigates","course-of-action--4f170666-7edb-4489-85c2-9affa28a72e0","attack-pattern--01df3350-ce05-4bdf-bdf8-0a919a66d4a8","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","",""
"relationship","relationship--dd315296-ffee-4f1b-aef7-2d914c458fd2","2017-12-14T16:46:06.044Z","2018-01-17T12:56:55.080Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","mitigates","course-of-action--c61fee9f-16fb-4f8c-bbf0-869093fcd4a6","attack-pattern--dcaa092b-7de9-4a21-977f-7fcb77e89c48","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","",""
"relationship","relationship--1da0f3c7-d9e2-4379-a84c-782fc94a75d5","2017-05-31T21:33:27.018Z","2018-01-17T12:56:55.080Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","mitigates","course-of-action--c085476e-1964-4d7f-86e1-d8657a7741e8","attack-pattern--9b99b83a-1aac-4e29-b975-b374950551a3","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","",""
"relationship","relationship--3d635b23-78b7-4de4-9417-8077787c7c0b","2017-05-31T21:33:27.026Z","2018-01-17T12:56:55.080Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","mitigates","course-of-action--5c49bc54-9929-48ca-b581-7018219b5a97","attack-pattern--72b74d71-8169-42aa-92e0-e7b04b9f5a08","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","",""
"relationship","relationship--bb55d7e7-28af-4efd-8384-289f1a8b173e","2017-05-31T21:33:27.028Z","2018-01-17T12:56:55.080Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","mitigates","course-of-action--fdb1ae84-7b00-4d3d-b7dc-c774beef6425","attack-pattern--a10641f4-87b4-45a3-a906-92a149cb2c27","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","",""
"relationship","relationship--0c2ba74b-a5b0-493c-84f3-41b6131070a0","2018-01-16T16:13:52.465Z","2018-01-17T12:56:55.080Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","mitigates","course-of-action--95c29444-49f9-49f7-8b20-bcd68d8fcaa6","attack-pattern--4bf5845d-a814-4490-bc5c-ccdee6043025","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","",""
"relationship","relationship--8b439661-99e2-4410-b043-082155793155","2017-05-31T21:33:27.028Z","2018-01-17T12:56:55.080Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","mitigates","course-of-action--10571bf2-8073-4edf-a71c-23bad225532e","attack-pattern--317fefa6-46c7-4062-adb6-2008cf6bcb41","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","",""
"relationship","relationship--620ab17a-3e46-4083-82b0-aeff74d104cd","2017-12-14T16:46:06.044Z","2018-01-17T12:56:55.080Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","mitigates","course-of-action--1e4ef2c7-ee96-4484-9baa-3b5777561301","attack-pattern--5ad95aaa-49c1-4784-821d-2e83f47b079b","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","",""
"relationship","relationship--e1275bcd-0462-4f79-b18f-2132b0bb74ec","2017-05-31T21:33:27.019Z","2018-01-17T12:56:55.080Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","mitigates","course-of-action--c88151a5-fe3f-4773-8147-d801587065a4","attack-pattern--327f3cc5-eea1-42d4-a6cd-ed34b7ce8f61","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","",""
"relationship","relationship--a38d4ac5-1d3d-4a2f-9493-ff3e2a4669b8","2017-12-14T16:46:06.044Z","2018-01-17T12:56:55.080Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","mitigates","course-of-action--cfc2d2fc-14ff-495f-bd99-585be47b804f","attack-pattern--7c93aa74-4bc0-4a9e-90ea-f25f86301566","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","",""
