"type","id","created","modified","mitre_attack_id","created_by_ref","name","description","external_references","object_marking_refs","x_mitre_aliases","spec_version","x_mitre_attack_spec_version","x_mitre_domains","x_mitre_modified_by_ref","x_mitre_version","x_mitre_contributors"
"tool","tool--30489451-5886-4c46-90c9-0dff9adc5252","2017-05-31T21:33:02.428Z","2018-01-17T12:56:55.080Z","S0099","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","Arp","Arp displays information about a system's Address Resolution Protocol (ARP) cache. (Citation: TechNet Arp)

Aliases: Arp, arp.exe","[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/wiki/Software/S0099', 'external_id': 'S0099'}, {'source_name': 'TechNet Arp', 'description': 'Microsoft. (n.d.). Arp. Retrieved April 17, 2016.', 'url': 'https://technet.microsoft.com/en-us/library/bb490864.aspx'}]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","['Arp', 'arp.exe']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0",""
"tool","tool--c9cd7ec9-40b7-49db-80be-1399eddd9c52","2017-05-31T21:33:10.197Z","2018-01-17T12:56:55.080Z","S0119","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","Cachedump","Cachedump is a publicly-available tool that program extracts cached password hashes from a system’s registry. (Citation: Mandiant APT1)

Aliases: Cachedump","[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/wiki/Software/S0119', 'external_id': 'S0119'}, {'source_name': 'Mandiant APT1', 'description': 'Mandiant. (n.d.). APT1 Exposing One of China’s Cyber Espionage Units. Retrieved July 18, 2016.', 'url': 'https://www.fireeye.com/content/dam/fireeye-www/services/pdfs/mandiant-apt1-report.pdf'}]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","['Cachedump']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0",""
"tool","tool--aafea02e-ece5-4bb2-91a6-3bf8c7f38a39","2017-12-14T16:46:06.044Z","2018-01-17T12:56:55.080Z","S0154","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","Cobalt Strike","Cobalt Strike is a commercial, full-featured, penetration testing tool which bills itself as “adversary simulation software designed to execute targeted attacks and emulate the post-exploitation actions of advanced threat actors”.  Cobalt Strike’s interactive post-exploit capabilities cover the full range of ATT&CK tactics, all executed within a single, integrated system. (Citation: cobaltstrike manual)

In addition to its own capabilities, Cobalt Strike leverages the capabilities of other well-known tools such as Metasploit and Mimikatz. (Citation: cobaltstrike manual)

Aliases: Cobalt Strike","[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/wiki/Software/S0154', 'external_id': 'S0154'}, {'source_name': 'cobaltstrike manual', 'description': 'Strategic Cyber LLC. (2017, March 14). Cobalt Strike Manual. Retrieved May 24, 2017.', 'url': 'https://cobaltstrike.com/downloads/csmanual38.pdf'}]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","['Cobalt Strike']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0",""
"tool","tool--cf23bf4a-e003-4116-bbae-1ea6c558d565","2017-05-31T21:33:00.565Z","2018-01-17T12:56:55.080Z","S0095","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","FTP","FTP is a utility commonly available with operating systems to transfer information over the File Transfer Protocol (FTP). Adversaries can use it to transfer other tools onto a system or to exfiltrate data. (Citation: Wikipedia FTP)

Aliases: FTP, ftp.exe","[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/wiki/Software/S0095', 'external_id': 'S0095'}, {'source_name': 'Wikipedia FTP', 'description': 'Wikipedia. (2016, June 15). File Transfer Protocol. Retrieved July 20, 2016.', 'url': 'https://en.wikipedia.org/wiki/File%20Transfer%20Protocol'}]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","['FTP', 'ftp.exe']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0",""
"tool","tool--4f45dfeb-fe51-4df0-8db3-edf7dd0513fe","2017-05-31T21:33:10.569Z","2018-01-17T12:56:55.080Z","S0120","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","Fgdump","Fgdump is a Windows password hash dumper. (Citation: Mandiant APT1)

Aliases: Fgdump","[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/wiki/Software/S0120', 'external_id': 'S0120'}, {'source_name': 'Mandiant APT1', 'description': 'Mandiant. (n.d.). APT1 Exposing One of China’s Cyber Espionage Units. Retrieved July 18, 2016.', 'url': 'https://www.fireeye.com/content/dam/fireeye-www/services/pdfs/mandiant-apt1-report.pdf'}]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","['Fgdump']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0",""
"tool","tool--d5e96a35-7b0b-4c6a-9533-d63ecbda563e","2017-05-31T21:32:32.011Z","2018-01-17T12:56:55.080Z","S0040","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","HTRAN","HTRAN is a tool that proxies connections through intermediate hops and aids users in disguising their true geographical location. It can be used by adversaries to hide their location when interacting with the victim networks.  (Citation: Operation Quantum Entanglement)

Aliases: HTRAN, HUC Packet Transmit Tool","[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/wiki/Software/S0040', 'external_id': 'S0040'}, {'source_name': 'Operation Quantum Entanglement', 'description': 'Haq, T., Moran, N., Vashisht, S., Scott, M. (2014, September). OPERATION QUANTUM ENTANGLEMENT. Retrieved November 4, 2015.', 'url': 'https://www.fireeye.com/content/dam/fireeye-www/global/en/current-threats/pdfs/wp-operation-quantum-entanglement.pdf'}]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","['HTRAN', 'HUC Packet Transmit Tool']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0",""
"tool","tool--2fab555f-7664-4623-b4e0-1675ae38190b","2017-05-31T21:33:10.962Z","2018-01-17T12:56:55.080Z","S0121","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","Lslsass","Lslsass is a publicly-available tool that can dump active logon session password hashes from the lsass process. (Citation: Mandiant APT1)

Aliases: Lslsass","[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/wiki/Software/S0121', 'external_id': 'S0121'}, {'source_name': 'Mandiant APT1', 'description': 'Mandiant. (n.d.). APT1 Exposing One of China’s Cyber Espionage Units. Retrieved July 18, 2016.', 'url': 'https://www.fireeye.com/content/dam/fireeye-www/services/pdfs/mandiant-apt1-report.pdf'}]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","['Lslsass']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0",""
"tool","tool--5a33468d-844d-4b1f-98c9-0e786c556b27","2018-01-16T16:13:52.465Z","2018-01-17T12:56:55.080Z","S0179","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","MimiPenguin","is a credential dumper, similar to Mimikatz, designed specifically for Linux platforms. (Citation: MimiPenguin GitHub May 2017)

Aliases: MimiPenguin

Contributors: Vincent Le Toux","[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/wiki/Software/S0179', 'external_id': 'S0179'}, {'source_name': 'MimiPenguin GitHub May 2017', 'description': 'Gregal, H. (2017, May 12). MimiPenguin. Retrieved December 5, 2017.', 'url': 'https://github.com/huntergregal/mimipenguin'}]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","['MimiPenguin']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","['Vincent Le Toux']"
"tool","tool--afc079f3-c0ea-4096-b75d-3f05338b7f60","2017-05-31T21:32:11.544Z","2018-01-17T12:56:55.080Z","S0002","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","Mimikatz","Mimikatz is a credential dumper capable of obtaining plaintext Windows account logins and passwords, along with many other features that make it useful for testing the security of networks. (Citation: Deply Mimikatz) (Citation: Adsecurity Mimikatz Guide)

Aliases: Mimikatz

Contributors: Vincent Le Toux","[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/wiki/Software/S0002', 'external_id': 'S0002'}, {'source_name': 'Deply Mimikatz', 'description': 'Deply, B. (n.d.). Mimikatz. Retrieved September 29, 2015.', 'url': 'https://github.com/gentilkiwi/mimikatz'}, {'source_name': 'Adsecurity Mimikatz Guide', 'description': 'Metcalf, S. (2015, November 13). Unofficial Guide to Mimikatz & Command Reference. Retrieved December 23, 2015.', 'url': 'https://adsecurity.org/?page%20id=1821'}]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","['Mimikatz']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","['Vincent Le Toux']"
"tool","tool--03342581-f790-4f03-ba41-e82e67392e23","2017-05-31T21:32:31.601Z","2018-01-17T12:56:55.080Z","S0039","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","Net","The Net utility is a component of the Windows operating system. It is used in command-line operations for control of users, groups, services, and network connections. (Citation: Microsoft Net Utility)

Net has a great deal of functionality, (Citation: Savill 1999) much of which is useful for an adversary, such as gathering system and network information for Discovery, moving laterally through Windows admin shares using `net use` commands, and interacting with services.

Aliases: Net, net.exe","[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/wiki/Software/S0039', 'external_id': 'S0039'}, {'source_name': 'Microsoft Net Utility', 'description': 'Microsoft. (2006, October 18). Net.exe Utility. Retrieved September 22, 2015.', 'url': 'https://msdn.microsoft.com/en-us/library/aa939914'}, {'source_name': 'Savill 1999', 'description': 'Savill, J. (1999, March 4). Net.exe reference. Retrieved September 22, 2015.', 'url': 'http://windowsitpro.com/windows/netexe-reference'}]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","['Net', 'net.exe']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0",""
