"type","id","created","modified","created_by_ref","object_marking_refs","name","description","x_mitre_version","x_mitre_data_source_ref","spec_version","x_mitre_attack_spec_version","x_mitre_domains","x_mitre_modified_by_ref"
"x-mitre-data-component","x-mitre-data-component--b9d031bb-d150-4fc6-8025-688201bf3ffd","2021-10-20T15:05:19.271356Z","2021-10-20T15:05:19.271356Z","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","Firmware Modification","Changes made to firmware, including its settings and/or data, such as MBR (Master Boot Record) and VBR (Volume Boot Record)","1.0","x-mitre-data-source--ca1cb239-ff6d-4f64-b9d7-41c8556a8b4f","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5"
"x-mitre-data-component","x-mitre-data-component--b5d0492b-cda4-421c-8e51-ed2b8d85c5d0","2021-10-20T15:05:19.271456Z","2021-10-20T15:05:19.271456Z","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","User Account Metadata","Contextual data about an account, which may include a username, user ID, environmental data, etc.","1.0","x-mitre-data-source--0b4f86ed-f4ab-46a3-8ed1-175be1974da6","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5"
"x-mitre-data-component","x-mitre-data-component--deb22295-7e37-4a3b-ac6f-c86666fbe63d","2021-10-20T15:05:19.271482Z","2021-10-20T15:05:19.271482Z","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","User Account Creation","Initial construction of a new account (ex: Windows EID 4720 or /etc/passwd logs)","1.0","x-mitre-data-source--0b4f86ed-f4ab-46a3-8ed1-175be1974da6","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5"
"x-mitre-data-component","x-mitre-data-component--d6257b8e-869c-41c0-8731-fdca40858a91","2021-10-20T15:05:19.271504Z","2021-10-20T15:05:19.271504Z","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","User Account Deletion","Removal of an account (ex: Windows EID 4726 or /var/log access/authentication logs)","1.0","x-mitre-data-source--0b4f86ed-f4ab-46a3-8ed1-175be1974da6","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5"
"x-mitre-data-component","x-mitre-data-component--d27b0089-2c39-4b6c-84ff-303e48657e77","2021-10-20T15:05:19.271526Z","2021-10-20T15:05:19.271526Z","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","User Account Modification","Changes made to an account, such as permissions and/or membership in specific groups (ex: Windows EID 4738 or /var/log access/authentication logs)","1.0","x-mitre-data-source--0b4f86ed-f4ab-46a3-8ed1-175be1974da6","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5"
"x-mitre-data-component","x-mitre-data-component--a953ca55-921a-44f7-9b8d-3d40141aa17e","2021-10-20T15:05:19.271547Z","2021-10-20T15:05:19.271547Z","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","User Account Authentication","An attempt by a user to gain access to a network or computing resource, often by providing credentials (ex: Windows EID 4625 or /var/log/auth.log)","1.0","x-mitre-data-source--0b4f86ed-f4ab-46a3-8ed1-175be1974da6","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5"
"x-mitre-data-component","x-mitre-data-component--7b375092-3a61-448d-900a-77c9a4bde4dc","2021-10-20T15:05:19.271606Z","2021-10-20T15:05:19.271606Z","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","Scheduled Job Metadata","Contextual data about a scheduled job, which may include information such as name, timing, command(s), etc.","1.0","x-mitre-data-source--c9ddfb51-eb45-4e22-b614-44ac1caa7883","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5"
"x-mitre-data-component","x-mitre-data-component--f42df6f0-6395-4f0c-9376-525a031f00c3","2021-10-20T15:05:19.271629Z","2021-10-20T15:05:19.271629Z","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","Scheduled Job Creation","Initial construction of a new scheduled job (ex: Windows EID 4698 or /var/log cron logs)","1.0","x-mitre-data-source--c9ddfb51-eb45-4e22-b614-44ac1caa7883","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5"
"x-mitre-data-component","x-mitre-data-component--faa34cf6-cf32-4dc9-bd6a-8f7a606ff65b","2021-10-20T15:05:19.271671Z","2021-10-20T15:05:19.271671Z","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","Scheduled Job Modification","Changes made to a scheduled job, such as modifications to the execution launch (ex: Windows EID 4702 or /var/log cron logs)","1.0","x-mitre-data-source--c9ddfb51-eb45-4e22-b614-44ac1caa7883","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5"
"x-mitre-data-component","x-mitre-data-component--93a6e38c-02a5-44d8-9035-b2e08459f31f","2021-10-20T15:05:19.271726Z","2021-10-20T15:05:19.271726Z","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","Malware Metadata","Contextual data about a malicious payload, such as compilation times, file hashes, as well as watermarks or other identifiable configuration information","1.0","x-mitre-data-source--b86d9b40-5fbe-4ef1-8dc3-263eff26f495","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5"
