"type","id","created","modified","object_marking_refs","name","x_mitre_version","created_by_ref","x_mitre_platforms","description","x_mitre_collection_layers","x_mitre_contributors","external_references","spec_version","x_mitre_attack_spec_version","x_mitre_domains","x_mitre_modified_by_ref"
"x-mitre-data-source","x-mitre-data-source--d6188aac-17db-4861-845f-57c369f9b4c8","2021-10-20T15:05:19.274110Z","2021-11-10T09:30:48.693951Z","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","Active Directory","1.0","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['Windows', 'Azure AD']","A database and set of services that allows administrators to manage permissions, access to network resources, and stored data objects (user, group, application, or devices)(Citation: Microsoft AD DS Getting Started)","['Host', 'Cloud Control Plane']","['Center for Threat-Informed Defense (CTID)']","[{'url': 'https://attack.mitre.org/datasources/DS0026', 'external_id': 'DS0026', 'source_name': 'mitre-attack'}, {'url': 'https://docs.microsoft.com/en-us/windows-server/identity/ad-ds/ad-ds-getting-started', 'description': 'Foulds, I. et al. (2018, August 7). AD DS Getting Started. Retrieved September 23, 2021.', 'source_name': 'Microsoft AD DS Getting Started'}]","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5"
"x-mitre-data-source","x-mitre-data-source--40269753-26bd-437b-986e-159c66dec5e4","2021-10-20T15:05:19.272925Z","2021-10-20T15:05:19.272925Z","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","Application Log","1.0","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['Windows', 'Linux', 'macOS', 'IaaS', 'SaaS', 'Office 365', 'Google Workspace']","Events collected by third-party services such as mail servers, web applications, or other appliances (not by the native OS or platform)(Citation: Confluence Logs)","['Host', 'Cloud Control Plane']","[]","[{'url': 'https://attack.mitre.org/datasources/DS0015', 'external_id': 'DS0015', 'source_name': 'mitre-attack'}, {'url': 'https://confluence.atlassian.com/doc/working-with-confluence-logs-108364721.html', 'description': 'Confluence Support. (2021, April 22). Working with Confluence Logs. Retrieved September 23, 2021.', 'source_name': 'Confluence Logs'}]","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5"
"x-mitre-data-source","x-mitre-data-source--29aa4e0e-4a26-4f79-a9bc-1ae66df1c923","2021-10-20T15:05:19.275410Z","2021-10-20T15:05:19.275410Z","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","Certificate","1.0","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['PRE']","A digital document, which highlights information such as the owner's identity, used to instill trust in public keys used while encrypting network communications","['OSINT']","[]","[{'url': 'https://attack.mitre.org/datasources/DS0037', 'external_id': 'DS0037', 'source_name': 'mitre-attack'}]","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5"
"x-mitre-data-source","x-mitre-data-source--b1ddede4-cafe-4955-ac4c-14b33ac3f647","2021-10-20T15:05:19.273990Z","2021-11-10T09:30:48.694425Z","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","Cloud Service","1.0","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['IaaS', 'SaaS', 'Office 365', 'Azure AD', 'Google Workspace']","Infrastructure, platforms, or software that are hosted on-premise or by third-party providers, made available to users through network connections and/or APIs(Citation: Amazon AWS)(Citation: Azure Products)","['Cloud Control Plane']","['Center for Threat-Informed Defense (CTID)']","[{'url': 'https://attack.mitre.org/datasources/DS0025', 'external_id': 'DS0025', 'source_name': 'mitre-attack'}, {'url': 'https://aws.amazon.com', 'description': 'Amazon. (n.d.). Start Building on AWS Today. Retrieved October 13, 2021.', 'source_name': 'Amazon AWS'}, {'url': 'https://azure.microsoft.com/en-us/services/', 'description': 'Microsoft. (n.d.). Azure products. Retrieved October 13, 2021.', 'source_name': 'Azure Products'}]","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5"
"x-mitre-data-source","x-mitre-data-source--2ce537a2-3b30-4374-9397-31d6460ec0bc","2021-10-20T15:05:19.272382Z","2021-11-10T09:30:48.694594Z","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","Cloud Storage","1.0","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['IaaS']","Data object storage infrastructure hosted on-premise or by third-party providers, made available to users through network connections and/or APIs(Citation: Amazon S3)(Citation: Azure Blob Storage)(Citation: Google Cloud Storage)","['Cloud Control Plane']","['Center for Threat-Informed Defense (CTID)']","[{'url': 'https://attack.mitre.org/datasources/DS0010', 'external_id': 'DS0010', 'source_name': 'mitre-attack'}, {'url': 'https://aws.amazon.com/s3/', 'description': 'Amazon. (n.d.). Amazon S3. Retrieved October 13, 2021.', 'source_name': 'Amazon S3'}, {'url': 'https://azure.microsoft.com/en-us/services/storage/blobs/', 'description': 'Microsoft. (n.d.). Azure Blob Storage. Retrieved October 13, 2021.', 'source_name': 'Azure Blob Storage'}, {'url': 'https://cloud.google.com/storage', 'description': 'Google. (n.d.). Cloud Storage. Retrieved October 13, 2021.', 'source_name': 'Google Cloud Storage'}]","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5"
"x-mitre-data-source","x-mitre-data-source--c3af32ff-65c5-4ea8-912a-fb4a85197239","2021-10-20T15:05:19.274720Z","2021-11-10T09:30:48.694817Z","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","Cluster","1.0","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['Containers']","A set of containerized computing resources that are managed together but have separate nodes to execute various tasks and/or applications(Citation: Kube Cluster Admin)(Citation: Kube Cluster Info)","['Container']","['Center for Threat-Informed Defense (CTID)']","[{'url': 'https://attack.mitre.org/datasources/DS0031', 'external_id': 'DS0031', 'source_name': 'mitre-attack'}, {'url': 'https://kubernetes.io/docs/concepts/cluster-administration/', 'description': 'kubernetes. (2021, January 16). Cluster Administration. Retrieved October 13, 2021.', 'source_name': 'Kube Cluster Admin'}, {'url': 'https://kubernetes.io/docs/reference/generated/kubectl/kubectl-commands#cluster-info', 'description': 'kubernetes. (n.d.). cluster-info. Retrieved October 13, 2021.', 'source_name': 'Kube Cluster Info'}]","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5"
"x-mitre-data-source","x-mitre-data-source--73691708-ffb5-4e29-906d-f485f6fa7089","2021-10-20T15:05:19.273124Z","2021-11-10T09:30:48.694901Z","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","Command","1.0","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['Windows', 'Linux', 'macOS', 'Network', 'Containers']","A directive given to a computer program, acting as an interpreter of some kind, in order to perform a specific task(Citation: Confluence Linux Command  Line)(Citation: Audit OSX)","['Host', 'Container']","['Austin Clark', 'Center for Threat-Informed Defense (CTID)']","[{'url': 'https://attack.mitre.org/datasources/DS0017', 'external_id': 'DS0017', 'source_name': 'mitre-attack'}, {'url': 'https://confluence.atlassian.com/confkb/how-to-enable-command-line-audit-logging-in-linux-956166545.html', 'description': 'Confluence Support. (2021, September 8). How to enable command line audit logging in linux. Retrieved September 23, 2021.', 'source_name': 'Confluence Linux Command  Line'}, {'url': 'https://www.scip.ch/en/?labs.20150108', 'description': 'Gagliardi, R. (n.d.). Audit in a OS X System. Retrieved September 23, 2021.', 'source_name': 'Audit OSX'}]","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5"
"x-mitre-data-source","x-mitre-data-source--072ec5a7-00ba-466f-9057-69751a22a967","2021-10-20T15:05:19.274834Z","2021-11-10T09:30:48.694982Z","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","Container","1.0","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['Containers']","A standard unit of virtualized software that packages up code and all its dependencies so the application runs quickly and reliably from one computing environment to another(Citation: Docker Docs Container)","['Container']","['Center for Threat-Informed Defense (CTID)']","[{'url': 'https://attack.mitre.org/datasources/DS0032', 'external_id': 'DS0032', 'source_name': 'mitre-attack'}, {'url': 'https://docs.docker.com/engine/api/v1.41/#tag/Container', 'description': 'docker docs. (n.d.). Containers. Retrieved October 13, 2021.', 'source_name': 'Docker Docs Container'}]","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5"
"x-mitre-data-source","x-mitre-data-source--dd75f457-8dc0-4a24-9ae5-4b61c33af866","2021-10-20T15:05:19.275460Z","2021-10-20T15:05:19.275460Z","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","Domain Name","1.0","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['PRE']","Information obtained (commonly through registration or activity logs) regarding one or more IP addresses registered with human readable names (ex: mitre.org)","['OSINT']","[]","[{'url': 'https://attack.mitre.org/datasources/DS0038', 'external_id': 'DS0038', 'source_name': 'mitre-attack'}]","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5"
"x-mitre-data-source","x-mitre-data-source--61bbbf27-f7c3-46ba-a6bc-48ae76928065","2021-10-20T15:05:19.272982Z","2021-11-10T09:30:48.695272Z","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","Drive","1.0","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['Windows', 'Linux', 'macOS']","A non-volatile data storage device (hard drive, floppy disk, USB flash drive) with at least one formatted partition, typically mounted to the file system and/or assigned a drive letter(Citation: Sysmon EID 9)","['Host']","['Center for Threat-Informed Defense (CTID)']","[{'url': 'https://attack.mitre.org/datasources/DS0016', 'external_id': 'DS0016', 'source_name': 'mitre-attack'}, {'url': 'https://docs.microsoft.com/sysinternals/downloads/sysmon#event-id-9-rawaccessread', 'description': 'Russinovich, R. & Garnier, T. (2021, August 18). Sysmon Event ID 9. Retrieved September 24, 2021.', 'source_name': 'Sysmon EID 9'}]","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5"
