"type","id","created","modified","mitre_attack_id","x_mitre_domains","x_mitre_contributors","object_marking_refs","created_by_ref","external_references","name","description","x_mitre_version","x_mitre_attack_spec_version","x_mitre_modified_by_ref","x_mitre_shortname","spec_version"
"x-mitre-tactic","x-mitre-tactic--2558fd61-8c75-4730-94c4-11926db2a263","2018-10-17T00:14:20.652Z","2022-04-25T14:00:00.188Z","TA0006","['enterprise-attack']","[]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","[{'external_id': 'TA0006', 'url': 'https://attack.mitre.org/tactics/TA0006', 'source_name': 'mitre-attack'}]","Credential Access","The adversary is trying to steal account names and passwords.

Credential Access consists of techniques for stealing credentials like account names and passwords. Techniques used to get credentials include keylogging or credential dumping. Using legitimate credentials can give adversaries access to systems, make them harder to detect, and provide the opportunity to create more accounts to help achieve their goals.","1.0","2.1.0","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","credential-access","2.1"
"x-mitre-tactic","x-mitre-tactic--4ca45d45-df4d-4613-8980-bac22d278fa5","2018-10-17T00:14:20.652Z","2022-04-25T14:00:00.188Z","TA0002","['enterprise-attack']","[]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","[{'external_id': 'TA0002', 'url': 'https://attack.mitre.org/tactics/TA0002', 'source_name': 'mitre-attack'}]","Execution","The adversary is trying to run malicious code.

Execution consists of techniques that result in adversary-controlled code running on a local or remote system. Techniques that run malicious code are often paired with techniques from all other tactics to achieve broader goals, like exploring a network or stealing data. For example, an adversary might use a remote access tool to run a PowerShell script that does Remote System Discovery. ","1.0","2.1.0","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","execution","2.1"
"x-mitre-tactic","x-mitre-tactic--5569339b-94c2-49ee-afb3-2222936582c8","2019-03-14T18:44:44.639Z","2022-04-25T14:00:00.188Z","TA0040","['enterprise-attack']","[]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","[{'external_id': 'TA0040', 'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/tactics/TA0040'}]","Impact","The adversary is trying to manipulate, interrupt, or destroy your systems and data.
 
Impact consists of techniques that adversaries use to disrupt availability or compromise integrity by manipulating business and operational processes. Techniques used for impact can include destroying or tampering with data. In some cases, business processes can look fine, but may have been altered to benefit the adversaries’ goals. These techniques might be used by adversaries to follow through on their end goal or to provide cover for a confidentiality breach.","1.0","2.1.0","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","impact","2.1"
"x-mitre-tactic","x-mitre-tactic--5bc1d813-693e-4823-9961-abf9af4b0e92","2018-10-17T00:14:20.652Z","2022-04-25T14:00:00.188Z","TA0003","['enterprise-attack']","[]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","[{'external_id': 'TA0003', 'url': 'https://attack.mitre.org/tactics/TA0003', 'source_name': 'mitre-attack'}]","Persistence","The adversary is trying to maintain their foothold.

Persistence consists of techniques that adversaries use to keep access to systems across restarts, changed credentials, and other interruptions that could cut off their access. Techniques used for persistence include any access, action, or configuration changes that let them maintain their foothold on systems, such as replacing or hijacking legitimate code or adding startup code. ","1.0","2.1.0","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","persistence","2.1"
"x-mitre-tactic","x-mitre-tactic--5e29b093-294e-49e9-a803-dab3d73b77dd","2018-10-17T00:14:20.652Z","2022-04-25T14:00:00.188Z","TA0004","['enterprise-attack']","[]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","[{'external_id': 'TA0004', 'url': 'https://attack.mitre.org/tactics/TA0004', 'source_name': 'mitre-attack'}]","Privilege Escalation","The adversary is trying to gain higher-level permissions.

Privilege Escalation consists of techniques that adversaries use to gain higher-level permissions on a system or network. Adversaries can often enter and explore a network with unprivileged access but require elevated permissions to follow through on their objectives. Common approaches are to take advantage of system weaknesses, misconfigurations, and vulnerabilities. Examples of elevated access include: 

* SYSTEM/root level
* local administrator
* user account with admin-like access 
* user accounts with access to specific system or perform specific function

These techniques often overlap with Persistence techniques, as OS features that let an adversary persist can execute in an elevated context.  ","1.0","2.1.0","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","privilege-escalation","2.1"
"x-mitre-tactic","x-mitre-tactic--7141578b-e50b-4dcc-bfa4-08a8dd689e9e","2018-10-17T00:14:20.652Z","2022-04-25T14:00:00.188Z","TA0008","['enterprise-attack']","[]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","[{'external_id': 'TA0008', 'url': 'https://attack.mitre.org/tactics/TA0008', 'source_name': 'mitre-attack'}]","Lateral Movement","The adversary is trying to move through your environment.

Lateral Movement consists of techniques that adversaries use to enter and control remote systems on a network. Following through on their primary objective often requires exploring the network to find their target and subsequently gaining access to it. Reaching their objective often involves pivoting through multiple systems and accounts to gain. Adversaries might install their own remote access tools to accomplish Lateral Movement or use legitimate credentials with native network and operating system tools, which may be stealthier. ","1.0","2.1.0","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","lateral-movement","2.1"
"x-mitre-tactic","x-mitre-tactic--78b23412-0651-46d7-a540-170a1ce8bd5a","2018-10-17T00:14:20.652Z","2022-04-25T14:00:00.188Z","TA0005","['enterprise-attack']","[]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","[{'external_id': 'TA0005', 'url': 'https://attack.mitre.org/tactics/TA0005', 'source_name': 'mitre-attack'}]","Defense Evasion","The adversary is trying to avoid being detected.

Defense Evasion consists of techniques that adversaries use to avoid detection throughout their compromise. Techniques used for defense evasion include uninstalling/disabling security software or obfuscating/encrypting data and scripts. Adversaries also leverage and abuse trusted processes to hide and masquerade their malware. Other tactics’ techniques are cross-listed here when those techniques include the added benefit of subverting defenses. ","1.0","2.1.0","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","defense-evasion","2.1"
"x-mitre-tactic","x-mitre-tactic--9a4e74ab-5008-408c-84bf-a10dfbc53462","2018-10-17T00:14:20.652Z","2022-04-25T14:00:00.188Z","TA0010","['enterprise-attack']","[]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","[{'external_id': 'TA0010', 'url': 'https://attack.mitre.org/tactics/TA0010', 'source_name': 'mitre-attack'}]","Exfiltration","The adversary is trying to steal data.

Exfiltration consists of techniques that adversaries may use to steal data from your network. Once they’ve collected data, adversaries often package it to avoid detection while removing it. This can include compression and encryption. Techniques for getting data out of a target network typically include transferring it over their command and control channel or an alternate channel and may also include putting size limits on the transmission.","1.0","2.1.0","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","exfiltration","2.1"
"x-mitre-tactic","x-mitre-tactic--c17c5845-175e-4421-9713-829d0573dbc9","2018-10-17T00:14:20.652Z","2022-04-25T14:00:00.188Z","TA0007","['enterprise-attack']","[]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","[{'external_id': 'TA0007', 'url': 'https://attack.mitre.org/tactics/TA0007', 'source_name': 'mitre-attack'}]","Discovery","The adversary is trying to figure out your environment.

Discovery consists of techniques an adversary may use to gain knowledge about the system and internal network. These techniques help adversaries observe the environment and orient themselves before deciding how to act. They also allow adversaries to explore what they can control and what’s around their entry point in order to discover how it could benefit their current objective. Native operating system tools are often used toward this post-compromise information-gathering objective. ","1.0","2.1.0","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","discovery","2.1"
"x-mitre-tactic","x-mitre-tactic--d108ce10-2419-4cf9-a774-46161d6c6cfe","2018-10-17T00:14:20.652Z","2022-04-25T14:00:00.188Z","TA0009","['enterprise-attack']","[]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","[{'external_id': 'TA0009', 'url': 'https://attack.mitre.org/tactics/TA0009', 'source_name': 'mitre-attack'}]","Collection","The adversary is trying to gather data of interest to their goal.

Collection consists of techniques adversaries may use to gather information and the sources information is collected from that are relevant to following through on the adversary's objectives. Frequently, the next goal after collecting data is to steal (exfiltrate) the data. Common target sources include various drive types, browsers, audio, video, and email. Common collection methods include capturing screenshots and keyboard input.","1.0","2.1.0","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","collection","2.1"
