"type","id","created","modified","name","description","external_references","created_by_ref","spec_version","x_mitre_attack_spec_version","x_mitre_domains","x_mitre_modified_by_ref","x_mitre_version"
"course-of-action","course-of-action--4f170666-7edb-4489-85c2-9affa28a72e0","2018-04-18T17:59:24.739Z","2018-04-18T17:59:24.739Z",".bash_profile and .bashrc Mitigation","Making these files immutable and only changeable by certain administrators will limit the ability for adversaries to easily create user level persistence.","[{'url': 'https://attack.mitre.org/wiki/Technique/T1156', 'source_name': 'mitre-attack', 'external_id': 'T1156'}]","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0"
"course-of-action","course-of-action--c61fee9f-16fb-4f8c-bbf0-869093fcd4a6","2018-04-18T17:59:24.739Z","2018-04-18T17:59:24.739Z","Access Token Manipulation Mitigation","Access tokens are an integral part of the security system within Windows and cannot be turned off.  However, an attacker must already have administrator level access on the local system to make full use of this technique; be sure to restrict users and accounts to the least privileges they require to do their job.

Any user can also spoof access tokens if they have legitimate credentials.  Follow mitigation guidelines for preventing adversary use of Valid Accounts. Limit permissions so that users and user groups cannot create tokens. This setting should be defined for the local system account only. GPO: Computer Configuration > [Policies] > Windows Settings > Security Settings > Local Policies > User Rights Assignment: Create a token object. (Citation: Microsoft Create Token) Also define who can create a process level token to only the local and network service through GPO: Computer Configuration > [Policies] > Windows Settings > Security Settings > Local Policies > User Rights Assignment: Replace a process level token. (Citation: Microsoft Replace Process Token)

Also limit opportunities for adversaries to increase privileges by limiting Privilege Escalation opportunities.","[{'url': 'https://attack.mitre.org/wiki/Technique/T1134', 'source_name': 'mitre-attack', 'external_id': 'T1134'}, {'description': 'Brower, N., Lich, B. (2017, April 19). Create a token object. Retrieved December 19, 2017.', 'source_name': 'Microsoft Create Token', 'url': 'https://docs.microsoft.com/windows/device-security/security-policy-settings/create-a-token-object'}, {'description': 'Brower, N., Lich, B. (2017, April 19). Replace a process level token. Retrieved December 19, 2017.', 'source_name': 'Microsoft Replace Process Token', 'url': 'https://docs.microsoft.com/windows/device-security/security-policy-settings/replace-a-process-level-token'}]","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0"
"course-of-action","course-of-action--c085476e-1964-4d7f-86e1-d8657a7741e8","2018-04-18T17:59:24.739Z","2018-04-18T17:59:24.739Z","Accessibility Features Mitigation","To use this technique remotely, an adversary must use it in conjunction with RDP. Ensure that Network Level Authentication is enabled to force the remote desktop session to authenticate before the session is created and the login screen displayed. It is enabled by default on Windows Vista and later. (Citation: TechNet RDP NLA)

If possible, use a Remote Desktop Gateway to manage connections and security configuration of RDP within a network. (Citation: TechNet RDP Gateway)

Identify and block potentially malicious software that may be executed by an adversary with this technique by using whitelisting (Citation: Beechey 2010) tools, like AppLocker, (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) or Software Restriction Policies (Citation: Corio 2008) where appropriate. (Citation: TechNet Applocker vs SRP)","[{'url': 'https://attack.mitre.org/wiki/Technique/T1015', 'source_name': 'mitre-attack', 'external_id': 'T1015'}, {'description': 'Microsoft. (n.d.). Configure Network Level Authentication for Remote Desktop Services Connections. Retrieved June 6, 2016.', 'source_name': 'TechNet RDP NLA', 'url': 'https://technet.microsoft.com/en-us/library/cc732713.aspx'}, {'description': 'Microsoft. (n.d.). Overview of Remote Desktop Gateway. Retrieved June 6, 2016.', 'source_name': 'TechNet RDP Gateway', 'url': 'https://technet.microsoft.com/en-us/library/cc731150.aspx'}, {'description': 'Beechey, J. (2010, December). Application Whitelisting: Panacea or Propaganda?. Retrieved November 18, 2014.', 'source_name': 'Beechey 2010', 'url': 'http://www.sans.org/reading-room/whitepapers/application/application-whitelisting-panacea-propaganda-33599'}, {'description': 'Tomonaga, S. (2016, January 26). Windows Commands Abused by Attackers. Retrieved February 2, 2016.', 'source_name': 'Windows Commands JPCERT', 'url': 'http://blog.jpcert.or.jp/2016/01/windows-commands-abused-by-attackers.html'}, {'description': 'NSA Information Assurance Directorate. (2014, August). Application Whitelisting Using Microsoft AppLocker. Retrieved March 31, 2016.', 'source_name': 'NSA MS AppLocker', 'url': 'https://www.iad.gov/iad/library/ia-guidance/tech-briefs/application-whitelisting-using-microsoft-applocker.cfm'}, {'description': 'Corio, C., & Sayana, D. P. (2008, June). Application Lockdown with Software Restriction Policies. Retrieved November 18, 2014.', 'source_name': 'Corio 2008', 'url': 'http://technet.microsoft.com/en-us/magazine/2008.06.srp.aspx'}, {'description': 'Microsoft. (2012, June 27). Using Software Restriction Policies and AppLocker Policies. Retrieved April 7, 2016.', 'source_name': 'TechNet Applocker vs SRP', 'url': 'https://technet.microsoft.com/en-us/library/ee791851.aspx'}]","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0"
"course-of-action","course-of-action--5c49bc54-9929-48ca-b581-7018219b5a97","2018-04-18T17:59:24.739Z","2018-04-18T17:59:24.739Z","Account Discovery Mitigation","Prevent administrator accounts from being enumerated when an application is elevating through UAC since it can lead to the disclosure of account names. The Registry key is located `HKLM\ SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\CredUI\EnumerateAdministrators`. It can be disabled through GPO: Computer Configuration > [Policies] > Administrative Templates > Windows Components > Credential User Interface: E numerate administrator accounts on elevation. (Citation: UCF STIG Elevation Account Enumeration)

Identify unnecessary system utilities or potentially malicious software that may be used to acquire information about system and domain accounts, and audit and/or block them by using whitelisting (Citation: Beechey 2010) tools, like AppLocker, (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) or Software Restriction Policies (Citation: Corio 2008) where appropriate. (Citation: TechNet Applocker vs SRP)","[{'url': 'https://attack.mitre.org/wiki/Technique/T1087', 'source_name': 'mitre-attack', 'external_id': 'T1087'}, {'description': 'Beechey, J. (2010, December). Application Whitelisting: Panacea or Propaganda?. Retrieved November 18, 2014.', 'source_name': 'Beechey 2010', 'url': 'http://www.sans.org/reading-room/whitepapers/application/application-whitelisting-panacea-propaganda-33599'}, {'description': 'Corio, C., & Sayana, D. P. (2008, June). Application Lockdown with Software Restriction Policies. Retrieved November 18, 2014.', 'source_name': 'Corio 2008', 'url': 'http://technet.microsoft.com/en-us/magazine/2008.06.srp.aspx'}, {'description': 'NSA Information Assurance Directorate. (2014, August). Application Whitelisting Using Microsoft AppLocker. Retrieved March 31, 2016.', 'source_name': 'NSA MS AppLocker', 'url': 'https://www.iad.gov/iad/library/ia-guidance/tech-briefs/application-whitelisting-using-microsoft-applocker.cfm'}, {'description': 'Microsoft. (2012, June 27). Using Software Restriction Policies and AppLocker Policies. Retrieved April 7, 2016.', 'source_name': 'TechNet Applocker vs SRP', 'url': 'https://technet.microsoft.com/en-us/library/ee791851.aspx'}, {'description': 'UCF. (n.d.). The system must require username and password to elevate a running application.. Retrieved December 18, 2017.', 'source_name': 'UCF STIG Elevation Account Enumeration', 'url': 'https://www.stigviewer.com/stig/microsoft%20windows%20server%202012%20member%20server/2013-07-25/finding/WN12-CC-000077'}, {'description': 'Tomonaga, S. (2016, January 26). Windows Commands Abused by Attackers. Retrieved February 2, 2016.', 'source_name': 'Windows Commands JPCERT', 'url': 'http://blog.jpcert.or.jp/2016/01/windows-commands-abused-by-attackers.html'}]","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0"
"course-of-action","course-of-action--fdb1ae84-7b00-4d3d-b7dc-c774beef6425","2018-04-18T17:59:24.739Z","2018-04-18T17:59:24.739Z","Account Manipulation Mitigation","Use multifactor authentication. Follow guidelines to prevent or limit adversary access to Valid Accounts.

Protect domain controllers by ensuring proper security configuration for critical servers. Configure access controls and firewalls to limit access to these systems. Do not allow domain administrator accounts to be used for day-to-day operations that may expose them to potential adversaries on unprivileged systems.","[{'url': 'https://attack.mitre.org/wiki/Technique/T1098', 'source_name': 'mitre-attack', 'external_id': 'T1098'}]","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0"
"course-of-action","course-of-action--95c29444-49f9-49f7-8b20-bcd68d8fcaa6","2018-04-18T17:59:24.739Z","2018-04-18T17:59:24.739Z","AppCert DLLs Mitigation","Identify and block potentially malicious software that may be executed through AppCert DLLs by using whitelisting (Citation: Beechey 2010) tools, like AppLocker, (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) that are capable of auditing and/or blocking unknown DLLs.","[{'url': 'https://attack.mitre.org/wiki/Technique/T1182', 'source_name': 'mitre-attack', 'external_id': 'T1182'}, {'description': 'Beechey, J. (2010, December). Application Whitelisting: Panacea or Propaganda?. Retrieved November 18, 2014.', 'source_name': 'Beechey 2010', 'url': 'http://www.sans.org/reading-room/whitepapers/application/application-whitelisting-panacea-propaganda-33599'}, {'description': 'Tomonaga, S. (2016, January 26). Windows Commands Abused by Attackers. Retrieved February 2, 2016.', 'source_name': 'Windows Commands JPCERT', 'url': 'http://blog.jpcert.or.jp/2016/01/windows-commands-abused-by-attackers.html'}, {'description': 'NSA Information Assurance Directorate. (2014, August). Application Whitelisting Using Microsoft AppLocker. Retrieved March 31, 2016.', 'source_name': 'NSA MS AppLocker', 'url': 'https://www.iad.gov/iad/library/ia-guidance/tech-briefs/application-whitelisting-using-microsoft-applocker.cfm'}]","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0"
"course-of-action","course-of-action--10571bf2-8073-4edf-a71c-23bad225532e","2018-04-18T17:59:24.739Z","2018-04-18T17:59:24.739Z","AppInit DLLs Mitigation","Upgrade to Windows 8 or later and enable secure boot.

Identify and block potentially malicious software that may be executed through AppInit DLLs by using whitelisting (Citation: Beechey 2010) tools, like AppLocker, (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) that are capable of auditing and/or blocking unknown DLLs.","[{'url': 'https://attack.mitre.org/wiki/Technique/T1103', 'source_name': 'mitre-attack', 'external_id': 'T1103'}, {'description': 'Beechey, J. (2010, December). Application Whitelisting: Panacea or Propaganda?. Retrieved November 18, 2014.', 'source_name': 'Beechey 2010', 'url': 'http://www.sans.org/reading-room/whitepapers/application/application-whitelisting-panacea-propaganda-33599'}, {'description': 'Tomonaga, S. (2016, January 26). Windows Commands Abused by Attackers. Retrieved February 2, 2016.', 'source_name': 'Windows Commands JPCERT', 'url': 'http://blog.jpcert.or.jp/2016/01/windows-commands-abused-by-attackers.html'}, {'description': 'NSA Information Assurance Directorate. (2014, August). Application Whitelisting Using Microsoft AppLocker. Retrieved March 31, 2016.', 'source_name': 'NSA MS AppLocker', 'url': 'https://www.iad.gov/iad/library/ia-guidance/tech-briefs/application-whitelisting-using-microsoft-applocker.cfm'}]","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0"
"course-of-action","course-of-action--1e4ef2c7-ee96-4484-9baa-3b5777561301","2018-04-18T17:59:24.739Z","2018-04-18T17:59:24.739Z","AppleScript Mitigation","Require that all AppleScript be signed by a trusted developer ID before being executed - this will prevent random AppleScript code from executing.","[{'url': 'https://attack.mitre.org/wiki/Technique/T1155', 'source_name': 'mitre-attack', 'external_id': 'T1155'}]","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0"
"course-of-action","course-of-action--c88151a5-fe3f-4773-8147-d801587065a4","2018-04-18T17:59:24.739Z","2018-04-18T17:59:24.739Z","Application Deployment Software Mitigation","Grant access to application deployment systems only to a limited number of authorized administrators. Ensure proper system and access isolation for critical network systems through use of firewalls, account privilege separation, group policy, and multifactor authentication. Verify that account credentials that may be used to access deployment systems are unique and not used throughout the enterprise network. Patch deployment systems regularly to prevent potential remote access through Exploitation for Privilege Escalation. 

If the application deployment system can be configured to deploy only signed binaries, then ensure that the trusted signing certificates are not co-located with the application deployment system and are instead located on a system that cannot be accessed remotely or to which remote access is tightly controlled.","[{'url': 'https://attack.mitre.org/wiki/Technique/T1017', 'source_name': 'mitre-attack', 'external_id': 'T1017'}]","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0"
"course-of-action","course-of-action--cfc2d2fc-14ff-495f-bd99-585be47b804f","2018-04-18T17:59:24.739Z","2018-04-18T17:59:24.739Z","Application Shimming Mitigation","There currently aren't a lot of ways to mitigate application shimming. Disabling the Shim Engine isn't recommended because Windows depends on shimming for interoperability and software may become unstable or not work. Microsoft released an optional patch update - KB3045645 - that will remove the ""auto-elevate"" flag within the sdbinst.exe. This will prevent use of application shimming to bypass UAC. 

Changing UAC settings to ""Always Notify"" will give the user more visibility when UAC elevation is requested, however, this option will not be popular among users due to the constant UAC interruptions.","[{'url': 'https://attack.mitre.org/wiki/Technique/T1138', 'source_name': 'mitre-attack', 'external_id': 'T1138'}]","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0"
