"type","id","created","modified","mitre_attack_id","created_by_ref","object_marking_refs","source_ref","relationship_type","target_ref","spec_version","x_mitre_attack_spec_version","x_mitre_domains","x_mitre_modified_by_ref","x_mitre_version","description","external_references","x_mitre_deprecated"
"relationship","relationship--1da0f3c7-d9e2-4379-a84c-782fc94a75d5","2017-05-31T21:33:27.018Z","2018-10-17T00:14:20.652Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","course-of-action--c085476e-1964-4d7f-86e1-d8657a7741e8","mitigates","attack-pattern--9b99b83a-1aac-4e29-b975-b374950551a3","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","","",""
"relationship","relationship--620ab17a-3e46-4083-82b0-aeff74d104cd","2017-12-14T16:46:06.044Z","2018-10-17T00:14:20.652Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","course-of-action--1e4ef2c7-ee96-4484-9baa-3b5777561301","mitigates","attack-pattern--5ad95aaa-49c1-4784-821d-2e83f47b079b","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","","",""
"relationship","relationship--758b6582-b988-4ab9-911e-e40c9bbebc2d","2017-05-31T21:33:27.031Z","2018-10-17T00:14:20.652Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","course-of-action--943d370b-2054-44df-8be2-ab4139bde1c5","mitigates","attack-pattern--52d40641-c480-4ad5-81a3-c80ccaddf82d","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","","",""
"relationship","relationship--1a3de27b-377c-4390-9911-2da8aaa705e3","2017-05-31T21:33:27.018Z","2018-10-17T00:14:20.652Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","course-of-action--16a8ac85-a06f-460f-ad22-910167bd7332","mitigates","attack-pattern--519630c5-f03f-4882-825c-3af924935817","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","","",""
"relationship","relationship--483a70b9-eae9-4d5f-925c-95c2dd7b9fa5","2017-05-31T21:33:27.026Z","2018-10-17T00:14:20.652Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","course-of-action--beb45abb-11e8-4aef-9778-1f9ac249784f","mitigates","attack-pattern--ca1a3f50-5ebd-41f8-8320-2c7d6a6e88be","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","","",""
"relationship","relationship--f9ca3697-51a1-494b-8a61-06e516f29860","2017-05-31T21:33:27.029Z","2018-10-17T00:14:20.652Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","course-of-action--82fbc58b-171d-4a2d-9a20-c6b2a716bd08","mitigates","attack-pattern--1b84d551-6de8-4b96-9930-d177677c3b1d","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","","",""
"relationship","relationship--6e466b8c-5798-4976-becb-9237f6154aab","2018-10-17T00:14:20.652Z","2018-10-17T00:14:20.652Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","course-of-action--676975b9-7e8e-463d-a31e-4ed2ecbfed81","mitigates","attack-pattern--10d5f3b7-6be6-4da5-9a77-0f1e2bbfcc44","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","","",""
"relationship","relationship--ef79ec2f-fd7f-4f0b-851c-d215693987be","2017-05-31T21:33:27.017Z","2018-10-17T00:14:20.652Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","course-of-action--aeff5887-8f9e-48d5-a523-9b395e2ce80a","mitigates","attack-pattern--0a3ead4e-6d47-4ccb-854c-a6a4f9d96b22","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","","",""
"relationship","relationship--2b8ab0c4-1226-40b6-a01e-368fafd7155c","2018-04-18T17:59:24.739Z","2018-10-17T00:14:20.652Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","course-of-action--b70627f7-3b43-4c6f-8fc0-c918c41f8f72","mitigates","attack-pattern--564998d8-ab3e-4123-93fb-eccaa6b9714a","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","","",""
"relationship","relationship--bd5699e8-8765-4f24-8307-c81a296b87e0","2017-05-31T21:33:27.019Z","2018-10-17T00:14:20.652Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","course-of-action--2a8de25c-f743-4348-b101-3ee33ab5871b","mitigates","attack-pattern--d54416bd-0803-41ca-870a-ce1af7c05638","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","","",""
"relationship","relationship--1b4cd403-8e3a-43da-bc25-a7e8d707794b","2017-05-31T21:33:27.017Z","2018-10-17T00:14:20.652Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","course-of-action--7ee0879d-ce4f-4f54-a96b-c532dfb98ffd","mitigates","attack-pattern--3c4a2599-71ee-4405-ba1e-0e28414b4bc5","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","","",""
"relationship","relationship--65a4317d-86b2-40c1-9d27-a067bcc2ad80","2018-01-16T16:13:52.465Z","2018-10-17T00:14:20.652Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","course-of-action--910482b1-6749-4934-abcb-3e34d58294fc","mitigates","attack-pattern--772bc7a8-a157-42cc-8728-d648e25c7fe7","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","","",""
