"type","id","created","modified","created_by_ref","name","description","object_marking_refs","external_references","x_mitre_version","x_mitre_aliases","x_mitre_platforms","spec_version","x_mitre_attack_spec_version","x_mitre_domains","x_mitre_modified_by_ref","x_mitre_contributors"
"tool","tool--30489451-5886-4c46-90c9-0dff9adc5252","2017-05-31T21:33:02.428Z","2018-10-17T00:14:20.652Z","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","Arp","[Arp](S0099) displays information about a system's Address Resolution Protocol (ARP) cache. (Citation: TechNet Arp)","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","[{'external_id': 'S0099', 'url': 'https://attack.mitre.org/software/S0099', 'source_name': 'mitre-attack'}, {'url': 'https://technet.microsoft.com/en-us/library/bb490864.aspx', 'description': 'Microsoft. (n.d.). Arp. Retrieved April 17, 2016.', 'source_name': 'TechNet Arp'}]","1.0","['Arp', 'arp.exe']","['Linux', 'Windows', 'macOS']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5",""
"tool","tool--64764dc6-a032-495f-8250-1e4c06bdc163","2018-04-18T17:59:24.739Z","2018-10-17T00:14:20.652Z","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","BITSAdmin","[BITSAdmin](S0190) is a command line tool used to create and manage [BITS Jobs](T1197). (Citation: Microsoft BITSAdmin)","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","[{'external_id': 'S0190', 'url': 'https://attack.mitre.org/software/S0190', 'source_name': 'mitre-attack'}, {'url': 'https://msdn.microsoft.com/library/aa362813.aspx', 'description': 'Microsoft. (n.d.). BITSAdmin Tool. Retrieved January 12, 2018.', 'source_name': 'Microsoft BITSAdmin'}]","1.0","['BITSAdmin']","['Windows']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5",""
"tool","tool--c9cd7ec9-40b7-49db-80be-1399eddd9c52","2017-05-31T21:33:10.197Z","2018-10-17T00:14:20.652Z","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","Cachedump","[Cachedump](S0119) is a publicly-available tool that program extracts cached password hashes from a system’s registry. (Citation: Mandiant APT1)","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","[{'external_id': 'S0119', 'url': 'https://attack.mitre.org/software/S0119', 'source_name': 'mitre-attack'}, {'url': 'https://www.fireeye.com/content/dam/fireeye-www/services/pdfs/mandiant-apt1-report.pdf', 'description': 'Mandiant. (n.d.). APT1 Exposing One of China’s Cyber Espionage Units. Retrieved July 18, 2016.', 'source_name': 'Mandiant APT1'}]","1.0","['Cachedump']","['Windows']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5",""
"tool","tool--aafea02e-ece5-4bb2-91a6-3bf8c7f38a39","2017-12-14T16:46:06.044Z","2018-10-17T00:14:20.652Z","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","Cobalt Strike","[Cobalt Strike](S0154) is a commercial, full-featured, penetration testing tool which bills itself as “adversary simulation software designed to execute targeted attacks and emulate the post-exploitation actions of advanced threat actors”. Cobalt Strike’s interactive post-exploit capabilities cover the full range of ATT&CK tactics, all executed within a single, integrated system. (Citation: cobaltstrike manual)

In addition to its own capabilities, [Cobalt Strike](S0154) leverages the capabilities of other well-known tools such as Metasploit and [Mimikatz](S0002). (Citation: cobaltstrike manual)","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","[{'external_id': 'S0154', 'url': 'https://attack.mitre.org/software/S0154', 'source_name': 'mitre-attack'}, {'url': 'https://cobaltstrike.com/downloads/csmanual38.pdf', 'description': 'Strategic Cyber LLC. (2017, March 14). Cobalt Strike Manual. Retrieved May 24, 2017.', 'source_name': 'cobaltstrike manual'}]","1.0","['Cobalt Strike']","['Windows']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['Josh Abraham']"
"tool","tool--cf23bf4a-e003-4116-bbae-1ea6c558d565","2017-05-31T21:33:00.565Z","2018-10-17T00:14:20.652Z","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","FTP","[FTP](S0095) is a utility commonly available with operating systems to transfer information over the File Transfer Protocol (FTP). Adversaries can use it to transfer other tools onto a system or to exfiltrate data. (Citation: Wikipedia FTP)","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","[{'external_id': 'S0095', 'url': 'https://attack.mitre.org/software/S0095', 'source_name': 'mitre-attack'}, {'url': 'https://en.wikipedia.org/wiki/File_Transfer_Protocol', 'description': 'Wikipedia. (2016, June 15). File Transfer Protocol. Retrieved July 20, 2016.', 'source_name': 'Wikipedia FTP'}]","1.0","['FTP', 'ftp.exe']","['Linux', 'Windows', 'macOS']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5",""
"tool","tool--4f45dfeb-fe51-4df0-8db3-edf7dd0513fe","2017-05-31T21:33:10.569Z","2018-10-17T00:14:20.652Z","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","Fgdump","[Fgdump](S0120) is a Windows password hash dumper. (Citation: Mandiant APT1)","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","[{'external_id': 'S0120', 'url': 'https://attack.mitre.org/software/S0120', 'source_name': 'mitre-attack'}, {'url': 'https://www.fireeye.com/content/dam/fireeye-www/services/pdfs/mandiant-apt1-report.pdf', 'description': 'Mandiant. (n.d.). APT1 Exposing One of China’s Cyber Espionage Units. Retrieved July 18, 2016.', 'source_name': 'Mandiant APT1'}]","1.0","['Fgdump']","['Windows']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5",""
"tool","tool--90ec2b22-7061-4469-b539-0989ec4f96c2","2018-04-18T17:59:24.739Z","2018-10-17T00:14:20.652Z","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","Forfiles","[Forfiles](S0193) is a Windows utility commonly used in batch jobs to execute commands on one or more selected files or directories (ex: list all directories in a drive, read the first line of all files created yesterday, etc.). Forfiles can be executed from either the command line, Run window, or batch files/scripts. (Citation: Microsoft Forfiles Aug 2016)","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","[{'external_id': 'S0193', 'url': 'https://attack.mitre.org/software/S0193', 'source_name': 'mitre-attack'}, {'url': 'https://docs.microsoft.com/previous-versions/windows/it-pro/windows-server-2012-R2-and-2012/cc753551(v=ws.11)', 'description': 'Microsoft. (2016, August 31). Forfiles. Retrieved January 22, 2018.', 'source_name': 'Microsoft Forfiles Aug 2016'}]","1.0","['Forfiles']","['Windows']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['Matthew Demaske, Adaptforward']"
"tool","tool--d5e96a35-7b0b-4c6a-9533-d63ecbda563e","2017-05-31T21:32:32.011Z","2018-10-17T00:14:20.652Z","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","HTRAN","[HTRAN](S0040) is a tool that proxies connections through intermediate hops and aids users in disguising their true geographical location. It can be used by adversaries to hide their location when interacting with the victim networks. (Citation: Operation Quantum Entanglement)","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","[{'external_id': 'S0040', 'url': 'https://attack.mitre.org/software/S0040', 'source_name': 'mitre-attack'}, {'url': 'https://www.fireeye.com/content/dam/fireeye-www/global/en/current-threats/pdfs/wp-operation-quantum-entanglement.pdf', 'description': 'Haq, T., Moran, N., Vashisht, S., Scott, M. (2014, September). OPERATION QUANTUM ENTANGLEMENT. Retrieved November 4, 2015.', 'source_name': 'Operation Quantum Entanglement'}]","1.0","['HTRAN', 'HUC Packet Transmit Tool']","['Linux', 'Windows']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5",""
"tool","tool--fbd727ea-c0dc-42a9-8448-9e12962d1ab5","2018-04-18T17:59:24.739Z","2018-10-17T00:14:20.652Z","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","Havij","[Havij](S0224) is an automatic SQL Injection tool distributed by the Iranian ITSecTeam security company. Havij has been used by penetration testers and adversaries. (Citation: Check Point Havij Analysis)","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","[{'external_id': 'S0224', 'url': 'https://attack.mitre.org/software/S0224', 'source_name': 'mitre-attack'}, {'url': 'https://blog.checkpoint.com/2015/05/14/analysis-havij-sql-injection-tool/', 'description': 'Ganani, M. (2015, May 14). Analysis of the Havij SQL Injection tool. Retrieved March 19, 2018.', 'source_name': 'Check Point Havij Analysis'}]","1.0","['Havij']","['Linux', 'Windows', 'macOS']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5",""
"tool","tool--b52d6583-14a2-4ddc-8527-87fd2142558f","2018-04-18T17:59:24.739Z","2018-10-17T00:14:20.652Z","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","Invoke-PSImage","[Invoke-PSImage](S0231) takes a PowerShell script and embeds the bytes of the script into the pixels of a PNG image. It generates a one liner for executing either from a file of from the web. Example of usage is embedding the PowerShell code from the Invoke-Mimikatz module and embed it into an image file. By calling the image file from a macro for example, the macro will download the picture and execute the PowerShell code, which in this case will dump the passwords. (Citation: GitHub Invoke-PSImage)","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","[{'external_id': 'S0231', 'url': 'https://attack.mitre.org/software/S0231', 'source_name': 'mitre-attack'}, {'url': 'https://github.com/peewpw/Invoke-PSImage', 'description': 'Adams, B. (2017, December 17). Invoke-PSImage. Retrieved April 10, 2018.', 'source_name': 'GitHub Invoke-PSImage'}]","1.0","['Invoke-PSImage']","['Windows']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['Christiaan Beek, @ChristiaanBeek']"
