"type","id","created","modified","external_references","object_marking_refs","name","created_by_ref","description","x_mitre_shortname","spec_version","x_mitre_attack_spec_version","x_mitre_domains","x_mitre_modified_by_ref","x_mitre_version"
"x-mitre-tactic","x-mitre-tactic--d108ce10-2419-4cf9-a774-46161d6c6cfe","2018-10-17T00:14:20.652Z","2018-10-17T00:14:20.652Z","[{'external_id': 'TA0009', 'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/tactics/TA0009'}]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","Collection","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","Collection consists of techniques used to identify and gather information, such as sensitive files, from a target network prior to exfiltration. This category also covers locations on a system or network where the adversary may look for information to exfiltrate.","collection","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0"
"x-mitre-tactic","x-mitre-tactic--f72804c5-f15a-449e-a5da-2eecd181f813","2018-10-17T00:14:20.652Z","2018-10-17T00:14:20.652Z","[{'external_id': 'TA0011', 'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/tactics/TA0011'}]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","Command and Control","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","The command and control tactic represents how adversaries communicate with systems under their control within a target network. There are many ways an adversary can establish command and control with various levels of covertness, depending on system configuration and network topology. Due to the wide degree of variation available to the adversary at the network level, only the most common factors were used to describe the differences in command and control. There are still a great many specific techniques within the documented methods, largely due to how easy it is to define new protocols and use existing, legitimate protocols and network services for communication. 

The resulting breakdown should help convey the concept that detecting intrusion through command and control protocols without prior knowledge is a difficult proposition over the long term. Adversaries' main constraints in network-level defense avoidance are testing and deployment of tools to rapidly change their protocols, awareness of existing defensive technologies, and access to legitimate Web services that, when used appropriately, make their tools difficult to distinguish from benign traffic.","command-and-control","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0"
"x-mitre-tactic","x-mitre-tactic--2558fd61-8c75-4730-94c4-11926db2a263","2018-10-17T00:14:20.652Z","2018-10-17T00:14:20.652Z","[{'external_id': 'TA0006', 'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/tactics/TA0006'}]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","Credential Access","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","Credential access represents techniques resulting in access to or control over system, domain, or service credentials that are used within an enterprise environment. Adversaries will likely attempt to obtain legitimate credentials from users or administrator accounts (local system administrator or domain users with administrator access) to use within the network. This allows the adversary to assume the identity of the account, with all of that account's permissions on the system and network, and makes it harder for defenders to detect the adversary. With sufficient access within a network, an adversary can create accounts for later use within the environment.","credential-access","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0"
"x-mitre-tactic","x-mitre-tactic--78b23412-0651-46d7-a540-170a1ce8bd5a","2018-10-17T00:14:20.652Z","2018-10-17T00:14:20.652Z","[{'external_id': 'TA0005', 'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/tactics/TA0005'}]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","Defense Evasion","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","Defense evasion consists of techniques an adversary may use to evade detection or avoid other defenses. Sometimes these actions are the same as or variations of techniques in other categories that have the added benefit of subverting a particular defense or mitigation. Defense evasion may be considered a set of attributes the adversary applies to all other phases of the operation.","defense-evasion","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0"
"x-mitre-tactic","x-mitre-tactic--c17c5845-175e-4421-9713-829d0573dbc9","2018-10-17T00:14:20.652Z","2018-10-17T00:14:20.652Z","[{'external_id': 'TA0007', 'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/tactics/TA0007'}]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","Discovery","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","Discovery consists of techniques that allow the adversary to gain knowledge about the system and internal network. When adversaries gain access to a new system, they must orient themselves to what they now have control of and what benefits operating from that system give to their current objective or overall goals during the intrusion. The operating system provides many native tools that aid in this post-compromise information-gathering phase.","discovery","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0"
"x-mitre-tactic","x-mitre-tactic--4ca45d45-df4d-4613-8980-bac22d278fa5","2018-10-17T00:14:20.652Z","2018-10-17T00:14:20.652Z","[{'external_id': 'TA0002', 'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/tactics/TA0002'}]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","Execution","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","The execution tactic represents techniques that result in execution of adversary-controlled code on a local or remote system. This tactic is often used in conjunction with initial access as the means of executing code once access is obtained, and lateral movement to expand access to remote systems on a network.","execution","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0"
"x-mitre-tactic","x-mitre-tactic--9a4e74ab-5008-408c-84bf-a10dfbc53462","2018-10-17T00:14:20.652Z","2018-10-17T00:14:20.652Z","[{'external_id': 'TA0010', 'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/tactics/TA0010'}]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","Exfiltration","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","Exfiltration refers to techniques and attributes that result or aid in the adversary removing files and information from a target network. This category also covers locations on a system or network where the adversary may look for information to exfiltrate.","exfiltration","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0"
"x-mitre-tactic","x-mitre-tactic--5569339b-94c2-49ee-afb3-2222936582c8","2019-03-14T18:44:44.639Z","2019-04-29T14:23:04.506Z","[{'external_id': 'TA0040', 'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/tactics/TA0040'}]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","Impact","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","The Impact tactic represents techniques whose primary objective directly reduces the availability or integrity of a system, service, or network; including manipulation of data to impact a business or operational process. These techniques may represent an adversary's end goal, or provide cover for a breach of confidentiality.","impact","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0"
"x-mitre-tactic","x-mitre-tactic--ffd5bcee-6e16-4dd2-8eca-7b3beedf33ca","2018-10-17T00:14:20.652Z","2018-10-17T00:14:20.652Z","[{'external_id': 'TA0001', 'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/tactics/TA0001'}]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","Initial Access","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","The initial access tactic represents the vectors adversaries use to gain an initial foothold within a network.","initial-access","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0"
"x-mitre-tactic","x-mitre-tactic--7141578b-e50b-4dcc-bfa4-08a8dd689e9e","2018-10-17T00:14:20.652Z","2018-10-17T00:14:20.652Z","[{'external_id': 'TA0008', 'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/tactics/TA0008'}]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","Lateral Movement","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","Lateral movement consists of techniques that enable an adversary to access and control remote systems on a network and could, but does not necessarily, include execution of tools on remote systems. The lateral movement techniques could allow an adversary to gather information from a system without needing additional tools, such as a remote access tool.","lateral-movement","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0"
