"type","id","created","modified","mitre_attack_id","aliases","name","description","external_references","created_by_ref","object_marking_refs","x_mitre_version","spec_version","x_mitre_attack_spec_version","x_mitre_domains","x_mitre_modified_by_ref","x_mitre_contributors","revoked"
"intrusion-set","intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662","2017-05-31T21:31:47.955Z","2019-08-20T13:08:12.971Z","G0006","['APT1', 'Comment Crew', 'Comment Group', 'Comment Panda']","APT1","[APT1](https://attack.mitre.org/groups/G0006) is a Chinese threat group that has been attributed to the 2nd Bureau of the People’s Liberation Army (PLA) General Staff Department’s (GSD) 3rd Department, commonly known by its Military Unit Cover Designator (MUCD) as Unit 61398. (Citation: Mandiant APT1)","[{'external_id': 'G0006', 'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/groups/G0006'}, {'description': '(Citation: Mandiant APT1)', 'source_name': 'APT1'}, {'description': '(Citation: Mandiant APT1)', 'source_name': 'Comment Crew'}, {'description': '(Citation: Mandiant APT1)', 'source_name': 'Comment Group'}, {'description': '(Citation: CrowdStrike Putter Panda)', 'source_name': 'Comment Panda'}, {'description': 'Mandiant. (n.d.). APT1 Exposing One of China’s Cyber Espionage Units. Retrieved July 18, 2016.', 'source_name': 'Mandiant APT1', 'url': 'https://www.fireeye.com/content/dam/fireeye-www/services/pdfs/mandiant-apt1-report.pdf'}, {'source_name': 'CrowdStrike Putter Panda', 'description': 'Crowdstrike Global Intelligence Team. (2014, June 9). CrowdStrike Intelligence Report: Putter Panda. Retrieved January 22, 2016.', 'url': 'http://cdn0.vox-cdn.com/assets/4589853/crowdstrike-intelligence-report-putter-panda.original.pdf'}]","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","1.1","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","",""
"intrusion-set","intrusion-set--c47f937f-1022-4f42-8525-e7a4779a14cb","2017-05-31T21:31:47.537Z","2019-06-10T19:28:00.749Z","G0005","['APT12', 'IXESHE', 'DynCalc', 'Numbered Panda', 'DNSCALC']","APT12","[APT12](https://attack.mitre.org/groups/G0005) is a threat group that has been attributed to China. The group has targeted a variety of victims including but not limited to media outlets, high-tech companies, and multiple governments.(Citation: Meyers Numbered Panda)","[{'external_id': 'G0005', 'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/groups/G0005'}, {'description': '(Citation: Meyers Numbered Panda) (Citation: Moran 2014)', 'source_name': 'APT12'}, {'description': '(Citation: Meyers Numbered Panda) (Citation: Moran 2014)', 'source_name': 'IXESHE'}, {'description': '(Citation: Meyers Numbered Panda) (Citation: Moran 2014)', 'source_name': 'DynCalc'}, {'description': '(Citation: Meyers Numbered Panda)', 'source_name': 'Numbered Panda'}, {'description': '(Citation: Moran 2014)', 'source_name': 'DNSCALC'}, {'description': 'Meyers, A. (2013, March 29). Whois Numbered Panda. Retrieved January 14, 2016.', 'source_name': 'Meyers Numbered Panda', 'url': 'http://www.crowdstrike.com/blog/whois-numbered-panda/'}, {'source_name': 'Moran 2014', 'description': 'Moran, N., Oppenheim, M., Engle, S., & Wartell, R.. (2014, September 3). Darwin’s Favorite APT Group &#91;Blog&#93;. Retrieved November 12, 2014.', 'url': 'https://www.fireeye.com/blog/threat-research/2014/09/darwins-favorite-apt-group-2.html'}]","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","2.0","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","",""
"intrusion-set","intrusion-set--d6e88e18-81e8-4709-82d8-973095da1e70","2017-05-31T21:31:56.270Z","2019-03-22T14:20:45.561Z","G0023","['APT16']","APT16","[APT16](https://attack.mitre.org/groups/G0023) is a China-based threat group that has launched spearphishing campaigns targeting Japanese and Taiwanese organizations. (Citation: FireEye EPS Awakens Part 2)","[{'external_id': 'G0023', 'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/groups/G0023'}, {'description': '(Citation: FireEye EPS Awakens Part 2)', 'source_name': 'APT16'}, {'source_name': 'FireEye EPS Awakens Part 2', 'description': 'Winters, R.. (2015, December 20). The EPS Awakens - Part 2. Retrieved January 22, 2016.', 'url': 'https://www.fireeye.com/blog/threat-research/2015/12/the-eps-awakens-part-two.html'}]","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","1.0","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","",""
"intrusion-set","intrusion-set--090242d7-73fc-4738-af68-20162f7a5aae","2017-05-31T21:31:57.307Z","2019-03-22T14:21:19.419Z","G0025","['APT17', 'Deputy Dog']","APT17","[APT17](https://attack.mitre.org/groups/G0025) is a China-based threat group that has conducted network intrusions against U.S. government entities, the defense industry, law firms, information technology companies, mining companies, and non-government organizations. (Citation: FireEye APT17)","[{'external_id': 'G0025', 'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/groups/G0025'}, {'description': '(Citation: FireEye APT17)', 'source_name': 'APT17'}, {'description': '(Citation: FireEye APT17)', 'source_name': 'Deputy Dog'}, {'source_name': 'FireEye APT17', 'description': 'FireEye Labs/FireEye Threat Intelligence. (2015, May 14). Hiding in Plain Sight: FireEye and Microsoft Expose Obfuscation Tactic. Retrieved January 22, 2016.', 'url': 'https://www2.fireeye.com/rs/fireye/images/APT17_Report.pdf'}]","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","1.0","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","",""
"intrusion-set","intrusion-set--38fd6a28-3353-4f2b-bb2b-459fecd5c648","2017-05-31T21:31:57.733Z","2019-05-30T18:05:32.461Z","G0026","['APT18', 'TG-0416', 'Dynamite Panda', 'Threat Group-0416']","APT18","[APT18](https://attack.mitre.org/groups/G0026) is a threat group that has operated since at least 2009 and has targeted a range of industries, including technology, manufacturing, human rights groups, government, and medical. (Citation: Dell Lateral Movement)","[{'external_id': 'G0026', 'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/groups/G0026'}, {'description': '(Citation: ThreatStream Evasion Analysis)(Citation: Anomali Evasive Maneuvers July 2015)', 'source_name': 'APT18'}, {'description': '(Citation: ThreatStream Evasion Analysis)(Citation: Anomali Evasive Maneuvers July 2015)', 'source_name': 'TG-0416'}, {'description': '(Citation: ThreatStream Evasion Analysis)(Citation: Anomali Evasive Maneuvers July 2015)', 'source_name': 'Dynamite Panda'}, {'description': '(Citation: ThreatStream Evasion Analysis)', 'source_name': 'Threat Group-0416'}, {'source_name': 'Dell Lateral Movement', 'description': 'Carvey, H.. (2014, September 2). Where you AT?: Indicators of lateral movement using at.exe on Windows 7 systems. Retrieved January 25, 2016.', 'url': 'http://www.secureworks.com/resources/blog/where-you-at-indicators-of-lateral-movement-using-at-exe-on-windows-7-systems/'}, {'source_name': 'ThreatStream Evasion Analysis', 'description': 'Shelmire, A.. (2015, July 6). Evasive Maneuvers. Retrieved January 22, 2016.', 'url': 'https://www.threatstream.com/blog/evasive-maneuvers-the-wekby-group-attempts-to-evade-analysis-via-custom-rop'}, {'description': 'Shelmire, A. (2015, July 06). Evasive Maneuvers by the Wekby group with custom ROP-packing and DNS covert channels. Retrieved November 15, 2018.', 'source_name': 'Anomali Evasive Maneuvers July 2015', 'url': 'https://www.anomali.com/blog/evasive-maneuvers-the-wekby-group-attempts-to-evade-analysis-via-custom-rop'}]","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","2.0","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","",""
"intrusion-set","intrusion-set--fe8796a4-2a02-41a0-9d27-7aa1e995feb6","2018-10-17T00:14:20.652Z","2019-10-11T19:12:13.407Z","G0073","['APT19', 'Codoso', 'C0d0so0', 'Codoso Team', 'Sunshop Group']","APT19","[APT19](https://attack.mitre.org/groups/G0073) is a Chinese-based threat group that has targeted a variety of industries, including defense, finance, energy, pharmaceutical, telecommunications, high tech, education, manufacturing, and legal services. In 2017, a phishing campaign was used to target seven law and investment firms. (Citation: FireEye APT19) Some analysts track [APT19](https://attack.mitre.org/groups/G0073) and [Deep Panda](https://attack.mitre.org/groups/G0009) as the same group, but it is unclear from open source information if the groups are the same. (Citation: ICIT China's Espionage Jul 2016) (Citation: FireEye APT Groups) (Citation: Unit 42 C0d0so0 Jan 2016)","[{'source_name': 'mitre-attack', 'external_id': 'G0073', 'url': 'https://attack.mitre.org/groups/G0073'}, {'description': '(Citation: FireEye APT19)', 'source_name': 'APT19'}, {'description': '(Citation: Unit 42 C0d0so0 Jan 2016)', 'source_name': 'Codoso'}, {'description': '(Citation: Unit 42 C0d0so0 Jan 2016)', 'source_name': 'C0d0so0'}, {'description': '(Citation: FireEye APT Groups)', 'source_name': 'Codoso Team'}, {'description': '(Citation: Dark Reading Codoso Feb 2015)', 'source_name': 'Sunshop Group'}, {'description': 'Ahl, I. (2017, June 06). Privileges and Credentials: Phished at the Request of Counsel. Retrieved May 17, 2018.', 'source_name': 'FireEye APT19', 'url': 'https://www.fireeye.com/blog/threat-research/2017/06/phished-at-the-request-of-counsel.html'}, {'description': 'Scott, J. and Spaniel, D. (2016, July 28). ICIT Brief - China’s Espionage Dynasty: Economic Death by a Thousand Cuts. Retrieved June 7, 2018.', 'source_name': ""ICIT China's Espionage Jul 2016"", 'url': 'https://web.archive.org/web/20171017072306/https://icitech.org/icit-brief-chinas-espionage-dynasty-economic-death-by-a-thousand-cuts/'}, {'description': 'FireEye. (n.d.). Advanced Persistent Threat Groups. Retrieved August 3, 2018.', 'source_name': 'FireEye APT Groups', 'url': 'https://www.fireeye.com/current-threats/apt-groups.html#apt19'}, {'description': 'Grunzweig, J., Lee, B. (2016, January 22). New Attacks Linked to C0d0so0 Group. Retrieved August 2, 2018.', 'source_name': 'Unit 42 C0d0so0 Jan 2016', 'url': 'https://researchcenter.paloaltonetworks.com/2016/01/new-attacks-linked-to-c0d0s0-group/'}, {'description': 'Chickowski, E. (2015, February 10). Chinese Hacking Group Codoso Team Uses Forbes.com As Watering Hole. Retrieved September 13, 2018.', 'source_name': 'Dark Reading Codoso Feb 2015', 'url': 'https://www.darkreading.com/attacks-breaches/chinese-hacking-group-codoso-team-uses-forbescom-as-watering-hole-/d/d-id/1319059'}]","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","1.2","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['FS-ISAC', 'Darren Spruell']",""
"intrusion-set","intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c","2017-05-31T21:31:48.664Z","2019-10-11T21:44:06.801Z","G0007","['APT28', 'SNAKEMACKEREL', 'Swallowtail', 'Group 74', 'Sednit', 'Sofacy', 'Pawn Storm', 'Fancy Bear', 'STRONTIUM', 'Tsar Team', 'Threat Group-4127', 'TG-4127']","APT28","[APT28](https://attack.mitre.org/groups/G0007) is a threat group that has been attributed to Russia's Main Intelligence Directorate of the Russian General Staff by a July 2018 U.S. Department of Justice indictment. This group reportedly compromised the Hillary Clinton campaign, the Democratic National Committee, and the Democratic Congressional Campaign Committee in 2016 in an attempt to interfere with the U.S. presidential election. [APT28](https://attack.mitre.org/groups/G0007) has been active since at least 2004.(Citation: DOJ GRU Indictment Jul 2018) (Citation: Ars Technica GRU indictment Jul 2018) (Citation: Crowdstrike DNC June 2016) (Citation: FireEye APT28) (Citation: SecureWorks TG-4127) (Citation: FireEye APT28 January 2017) (Citation: GRIZZLY STEPPE JAR) (Citation: Sofacy DealersChoice) (Citation: Palo Alto Sofacy 06-2018) (Citation: Symantec APT28 Oct 2018) (Citation: ESET Zebrocy May 2019)","[{'source_name': 'mitre-attack', 'external_id': 'G0007', 'url': 'https://attack.mitre.org/groups/G0007'}, {'description': '(Citation: FireEye APT28) (Citation: SecureWorks TG-4127) (Citation: Crowdstrike DNC June 2016) (Citation: Kaspersky Sofacy) (Citation: ESET Sednit Part 3) (Citation: Ars Technica GRU indictment Jul 2018)(Citation: Talos Seduploader Oct 2017)(Citation: Symantec APT28 Oct 2018)(Citation: Securelist Sofacy Feb 2018)', 'source_name': 'APT28'}, {'description': '(Citation: Accenture SNAKEMACKEREL Nov 2018)', 'source_name': 'SNAKEMACKEREL'}, {'description': '(Citation: Symantec APT28 Oct 2018)', 'source_name': 'Swallowtail'}, {'description': '(Citation: Talos Seduploader Oct 2017)', 'source_name': 'Group 74'}, {'description': 'This designation has been used in reporting both to refer to the threat group and its associated malware JHUHUGIT. (Citation: FireEye APT28 January 2017) (Citation: SecureWorks TG-4127) (Citation: Kaspersky Sofacy) (Citation: Ars Technica GRU indictment Jul 2018)', 'source_name': 'Sednit'}, {'description': 'This designation has been used in reporting both to refer to the threat group and its associated malware. (Citation: FireEye APT28) (Citation: SecureWorks TG-4127) (Citation: Crowdstrike DNC June 2016) (Citation: ESET Sednit Part 3) (Citation: Ars Technica GRU indictment Jul 2018)(Citation: Talos Seduploader Oct 2017)', 'source_name': 'Sofacy'}, {'description': '(Citation: SecureWorks TG-4127) (Citation: ESET Sednit Part 3)', 'source_name': 'Pawn Storm'}, {'description': '(Citation: Crowdstrike DNC June 2016) (Citation: Kaspersky Sofacy) (Citation: ESET Sednit Part 3) (Citation: Ars Technica GRU indictment Jul 2018)(Citation: Talos Seduploader Oct 2017)(Citation: Symantec APT28 Oct 2018)(Citation: Securelist Sofacy Feb 2018)', 'source_name': 'Fancy Bear'}, {'description': '(Citation: Kaspersky Sofacy) (Citation: ESET Sednit Part 3) (Citation: Microsoft STRONTIUM Aug 2019)', 'source_name': 'STRONTIUM'}, {'description': '(Citation: ESET Sednit Part 3)(Citation: Talos Seduploader Oct 2017)(Citation: Talos Seduploader Oct 2017)', 'source_name': 'Tsar Team'}, {'description': '(Citation: SecureWorks TG-4127)', 'source_name': 'Threat Group-4127'}, {'description': '(Citation: SecureWorks TG-4127)', 'source_name': 'TG-4127'}, {'source_name': 'DOJ GRU Indictment Jul 2018', 'description': 'Mueller, R. (2018, July 13). Indictment - United States of America vs. VIKTOR BORISOVICH NETYKSHO, et al. Retrieved September 13, 2018.', 'url': 'https://www.justice.gov/file/1080281/download'}, {'source_name': 'Ars Technica GRU indictment Jul 2018', 'description': 'Gallagher, S. (2018, July 27). How they did it (and will likely try again): GRU hackers vs. US elections. Retrieved September 13, 2018.', 'url': 'https://arstechnica.com/information-technology/2018/07/from-bitly-to-x-agent-how-gru-hackers-targeted-the-2016-presidential-election/'}, {'source_name': 'Crowdstrike DNC June 2016', 'description': 'Alperovitch, D.. (2016, June 15). Bears in the Midst: Intrusion into the Democratic National Committee. Retrieved August 3, 2016.', 'url': 'https://www.crowdstrike.com/blog/bears-midst-intrusion-democratic-national-committee/'}, {'description': 'FireEye. (2015). APT28: A WINDOW INTO RUSSIA’S CYBER ESPIONAGE OPERATIONS?. Retrieved August 19, 2015.', 'source_name': 'FireEye APT28', 'url': 'https://www.fireeye.com/content/dam/fireeye-www/global/en/current-threats/pdfs/rpt-apt28.pdf'}, {'description': 'SecureWorks Counter Threat Unit Threat Intelligence. (2016, June 16). Threat Group-4127 Targets Hillary Clinton Presidential Campaign. Retrieved August 3, 2016.', 'source_name': 'SecureWorks TG-4127', 'url': 'https://www.secureworks.com/research/threat-group-4127-targets-hillary-clinton-presidential-campaign'}, {'description': 'FireEye iSIGHT Intelligence. (2017, January 11). APT28: At the Center of the Storm. Retrieved January 11, 2017.', 'source_name': 'FireEye APT28 January 2017', 'url': 'https://www2.fireeye.com/rs/848-DID-242/images/APT28-Center-of-Storm-2017.pdf'}, {'description': 'Department of Homeland Security and Federal Bureau of Investigation. (2016, December 29). GRIZZLY STEPPE – Russian Malicious Cyber Activity. Retrieved January 11, 2017.', 'source_name': 'GRIZZLY STEPPE JAR', 'url': 'https://www.us-cert.gov/sites/default/files/publications/JAR_16-20296A_GRIZZLY%20STEPPE-2016-1229.pdf'}, {'source_name': 'Sofacy DealersChoice', 'description': 'Falcone, R. (2018, March 15). Sofacy Uses DealersChoice to Target European Government Agency. Retrieved June 4, 2018.', 'url': 'https://researchcenter.paloaltonetworks.com/2018/03/unit42-sofacy-uses-dealerschoice-target-european-government-agency/'}, {'description': 'Lee, B., Falcone, R. (2018, June 06). Sofacy Group’s Parallel Attacks. Retrieved June 18, 2018.', 'source_name': 'Palo Alto Sofacy 06-2018', 'url': 'https://researchcenter.paloaltonetworks.com/2018/06/unit42-sofacy-groups-parallel-attacks/'}, {'source_name': 'Symantec APT28 Oct 2018', 'description': 'Symantec Security Response. (2018, October 04). APT28: New Espionage Operations Target Military and Government Organizations. Retrieved November 14, 2018.', 'url': 'https://www.symantec.com/blogs/election-security/apt28-espionage-military-government'}, {'description': 'ESET Research. (2019, May 22). A journey to Zebrocy land. Retrieved June 20, 2019.', 'source_name': 'ESET Zebrocy May 2019', 'url': 'https://www.welivesecurity.com/2019/05/22/journey-zebrocy-land/'}, {'source_name': 'Kaspersky Sofacy', 'description': ""Kaspersky Lab's Global Research and Analysis Team. (2015, December 4). Sofacy APT hits high profile targets with updated toolset. Retrieved December 10, 2015."", 'url': 'https://securelist.com/sofacy-apt-hits-high-profile-targets-with-updated-toolset/72924/'}, {'source_name': 'ESET Sednit Part 3', 'description': 'ESET. (2016, October). En Route with Sednit - Part 3: A Mysterious Downloader. Retrieved November 21, 2016.', 'url': 'http://www.welivesecurity.com/wp-content/uploads/2016/10/eset-sednit-part3.pdf'}, {'description': 'Mercer, W., et al. (2017, October 22). ""Cyber Conflict"" Decoy Document Used in Real Cyber Conflict. Retrieved November 2, 2018.', 'source_name': 'Talos Seduploader Oct 2017', 'url': 'https://blog.talosintelligence.com/2017/10/cyber-conflict-decoy-document.html'}, {'description': ""Kaspersky Lab's Global Research & Analysis Team. (2018, February 20). A Slice of 2017 Sofacy Activity. Retrieved November 27, 2018."", 'source_name': 'Securelist Sofacy Feb 2018', 'url': 'https://securelist.com/a-slice-of-2017-sofacy-activity/83930/'}, {'description': 'Accenture Security. (2018, November 29). SNAKEMACKEREL. Retrieved April 15, 2019.', 'source_name': 'Accenture SNAKEMACKEREL Nov 2018', 'url': 'https://www.accenture.com/t20181129T203820Z__w__/us-en/_acnmedia/PDF-90/Accenture-snakemackerel-delivers-zekapab-malware.pdf#zoom=50'}, {'source_name': 'Microsoft STRONTIUM Aug 2019', 'description': 'MSRC Team. (2019, August 5). Corporate IoT – a path to intrusion. Retrieved August 16, 2019.', 'url': 'https://msrc-blog.microsoft.com/2019/08/05/corporate-iot-a-path-to-intrusion/'}]","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","2.2","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['Drew Church, Splunk', 'Emily Ratliff, IBM', 'Richard Gold, Digital Shadows']",""
"intrusion-set","intrusion-set--899ce53f-13a0-479b-a0e4-67d46e241542","2017-05-31T21:31:52.748Z","2019-07-25T14:25:52.859Z","G0016","['APT29', 'YTTRIUM', 'The Dukes', 'Cozy Bear', 'CozyDuke']","APT29","[APT29](https://attack.mitre.org/groups/G0016) is threat group that has been attributed to the Russian government and has operated since at least 2008. (Citation: F-Secure The Dukes) (Citation: GRIZZLY STEPPE JAR) This group reportedly compromised the Democratic National Committee starting in the summer of 2015. (Citation: Crowdstrike DNC June 2016)","[{'external_id': 'G0016', 'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/groups/G0016'}, {'description': '(Citation: F-Secure The Dukes)(Citation: FireEye APT29 Nov 2018)', 'source_name': 'APT29'}, {'description': '(Citation: Microsoft Unidentified Dec 2018)', 'source_name': 'YTTRIUM'}, {'description': '(Citation: F-Secure The Dukes)', 'source_name': 'The Dukes'}, {'description': '(Citation: Crowdstrike DNC June 2016)', 'source_name': 'Cozy Bear'}, {'description': '(Citation: Crowdstrike DNC June 2016)', 'source_name': 'CozyDuke'}, {'source_name': 'F-Secure The Dukes', 'description': 'F-Secure Labs. (2015, September 17). The Dukes: 7 years of Russian cyberespionage. Retrieved December 10, 2015.', 'url': 'https://www.f-secure.com/documents/996508/1030745/dukes_whitepaper.pdf'}, {'source_name': 'GRIZZLY STEPPE JAR', 'description': 'Department of Homeland Security and Federal Bureau of Investigation. (2016, December 29). GRIZZLY STEPPE – Russian Malicious Cyber Activity. Retrieved January 11, 2017.', 'url': 'https://www.us-cert.gov/sites/default/files/publications/JAR_16-20296A_GRIZZLY%20STEPPE-2016-1229.pdf'}, {'source_name': 'Crowdstrike DNC June 2016', 'description': 'Alperovitch, D.. (2016, June 15). Bears in the Midst: Intrusion into the Democratic National Committee. Retrieved August 3, 2016.', 'url': 'https://www.crowdstrike.com/blog/bears-midst-intrusion-democratic-national-committee/'}, {'description': 'Dunwoody, M., et al. (2018, November 19). Not So Cozy: An Uncomfortable Examination of a Suspected APT29 Phishing Campaign. Retrieved November 27, 2018.', 'source_name': 'FireEye APT29 Nov 2018', 'url': 'https://www.fireeye.com/blog/threat-research/2018/11/not-so-cozy-an-uncomfortable-examination-of-a-suspected-apt29-phishing-campaign.html'}, {'source_name': 'Microsoft Unidentified Dec 2018', 'description': 'Microsoft Defender Research Team. (2018, December 3). Analysis of cyberattack on U.S. think tanks, non-profits, public sector by unidentified attackers. Retrieved April 15, 2019.', 'url': 'https://www.microsoft.com/security/blog/2018/12/03/analysis-of-cyberattack-on-u-s-think-tanks-non-profits-public-sector-by-unidentified-attackers/'}]","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","1.2","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","",""
"intrusion-set","intrusion-set--0bbdf25b-30ff-4894-a1cd-49260d0dd2d9","2017-05-31T21:31:55.853Z","2019-10-11T19:27:52.526Z","G0022","['APT3', 'Gothic Panda', 'Pirpi', 'UPS Team', 'Buckeye', 'Threat Group-0110', 'TG-0110']","APT3","[APT3](https://attack.mitre.org/groups/G0022) is a China-based threat group that researchers have attributed to China's Ministry of State Security. (Citation: FireEye Clandestine Wolf) (Citation: Recorded Future APT3 May 2017) This group is responsible for the campaigns known as Operation Clandestine Fox, Operation Clandestine Wolf, and Operation Double Tap. (Citation: FireEye Clandestine Wolf) (Citation: FireEye Operation Double Tap) As of June 2015, the group appears to have shifted from targeting primarily US victims to primarily political organizations in Hong Kong. (Citation: Symantec Buckeye)

MITRE has also developed an APT3 Adversary Emulation Plan.(Citation: APT3 Adversary Emulation Plan)","[{'external_id': 'G0022', 'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/groups/G0022'}, {'description': '(Citation: FireEye Clandestine Wolf) (Citation: Recorded Future APT3 May 2017) (Citation: Symantec Buckeye)', 'source_name': 'APT3'}, {'description': '(Citation: PWC Pirpi Scanbox) (Citation: Recorded Future APT3 May 2017) (Citation: Symantec Buckeye)', 'source_name': 'Gothic Panda'}, {'description': '(Citation: PWC Pirpi Scanbox)', 'source_name': 'Pirpi'}, {'description': '(Citation: FireEye Clandestine Wolf) (Citation: Recorded Future APT3 May 2017) (Citation: Symantec Buckeye)', 'source_name': 'UPS Team'}, {'description': '(Citation: Symantec Buckeye)', 'source_name': 'Buckeye'}, {'description': '(Citation: Recorded Future APT3 May 2017) (Citation: Symantec Buckeye)', 'source_name': 'Threat Group-0110'}, {'description': '(Citation: Recorded Future APT3 May 2017) (Citation: Symantec Buckeye)', 'source_name': 'TG-0110'}, {'source_name': 'FireEye Clandestine Wolf', 'description': 'Eng, E., Caselden, D.. (2015, June 23). Operation Clandestine Wolf – Adobe Flash Zero-Day in APT3 Phishing Campaign. Retrieved January 14, 2016.', 'url': 'https://www.fireeye.com/blog/threat-research/2015/06/operation-clandestine-wolf-adobe-flash-zero-day.html'}, {'source_name': 'Recorded Future APT3 May 2017', 'description': 'Insikt Group (Recorded Future). (2017, May 17). Recorded Future Research Concludes Chinese Ministry of State Security Behind APT3. Retrieved June 18, 2017.', 'url': 'https://www.recordedfuture.com/chinese-mss-behind-apt3/'}, {'source_name': 'FireEye Operation Double Tap', 'description': 'Moran, N., et al. (2014, November 21). Operation Double Tap. Retrieved January 14, 2016.', 'url': 'https://www.fireeye.com/blog/threat-research/2014/11/operation_doubletap.html'}, {'source_name': 'Symantec Buckeye', 'description': 'Symantec Security Response. (2016, September 6). Buckeye cyberespionage group shifts gaze from US to Hong Kong. Retrieved September 26, 2016.', 'url': 'http://www.symantec.com/connect/blogs/buckeye-cyberespionage-group-shifts-gaze-us-hong-kong'}, {'source_name': 'APT3 Adversary Emulation Plan', 'description': 'Korban, C, et al. (2017, September). APT3 Adversary Emulation Plan. Retrieved January 16, 2018.', 'url': 'https://attack.mitre.org/docs/APT3_Adversary_Emulation_Plan.pdf'}, {'source_name': 'PWC Pirpi Scanbox', 'description': 'Lancaster, T. (2015, July 25). A tale of Pirpi, Scanbox & CVE-2015-3113. Retrieved March 30, 2016.', 'url': 'http://pwc.blogs.com/cyber_security_updates/2015/07/pirpi-scanbox.html'}]","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","1.2","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","",""
"intrusion-set","intrusion-set--f047ee18-7985-4946-8bfb-4ed754d3a0dd","2017-05-31T21:31:51.026Z","2019-03-22T18:44:28.439Z","G0013","['APT30']","APT30","[APT30](https://attack.mitre.org/groups/G0013) is a threat group suspected to be associated with the Chinese government. (Citation: FireEye APT30) While [Naikon](https://attack.mitre.org/groups/G0019) shares some characteristics with [APT30](https://attack.mitre.org/groups/G0013), the two groups do not appear to be exact matches. (Citation: Baumgartner Golovkin Naikon 2015)","[{'external_id': 'G0013', 'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/groups/G0013'}, {'description': '(Citation: FireEye APT30) (Citation: Baumgartner Golovkin Naikon 2015)', 'source_name': 'APT30'}, {'source_name': 'FireEye APT30', 'description': 'FireEye Labs. (2015, April). APT30 AND THE MECHANICS OF A LONG-RUNNING CYBER ESPIONAGE OPERATION. Retrieved May 1, 2015.', 'url': 'https://www2.fireeye.com/rs/fireye/images/rpt-apt30.pdf'}, {'source_name': 'Baumgartner Golovkin Naikon 2015', 'description': 'Baumgartner, K., Golovkin, M.. (2015, May 14). The Naikon APT. Retrieved January 14, 2015.', 'url': 'https://securelist.com/the-naikon-apt/69953/'}]","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","1.0","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","",""
