"type","id","created","modified","mitre_attack_id","name","external_references","revoked","spec_version","x_mitre_attack_spec_version","x_mitre_domains","x_mitre_version","object_marking_refs","created_by_ref","description","kill_chain_phases","x_mitre_is_subtechnique","x_mitre_permissions_required","x_mitre_detection","x_mitre_data_sources","x_mitre_platforms","x_mitre_modified_by_ref","x_mitre_defense_bypassed","x_mitre_contributors","x_mitre_effective_permissions","x_mitre_impact_type","x_mitre_system_requirements","x_mitre_network_requirements","x_mitre_remote_support","x_mitre_deprecated"
"attack-pattern","attack-pattern--01df3350-ce05-4bdf-bdf8-0a919a66d4a8","2017-12-14T16:46:06.044Z","2020-01-24T14:14:05.452Z","T1156",".bash_profile and .bashrc","[{'source_name': 'mitre-attack', 'external_id': 'T1156', 'url': 'https://attack.mitre.org/techniques/T1156'}, {'url': 'https://researchcenter.paloaltonetworks.com/2017/04/unit42-new-iotlinux-malware-targets-dvrs-forms-botnet/', 'description': 'Claud Xiao, Cong Zheng, Yanhui Jia. (2017, April 6). New IoT/Linux Malware Targets DVRs, Forms Botnet. Retrieved February 19, 2018.', 'source_name': 'amnesia malware'}]","True","2.1","2.1.0","['enterprise-attack']","1.0","","","","","","","","","","","","","","","","","",""
"attack-pattern","attack-pattern--b63a34e8-0a61-4c97-a23b-bf8a2ed812e2","2020-01-24T14:13:45.936Z","2020-03-24T16:28:04.990Z","T1546.004",".bash_profile and .bashrc","[{'source_name': 'mitre-attack', 'external_id': 'T1546.004', 'url': 'https://attack.mitre.org/techniques/T1546/004'}, {'url': 'https://researchcenter.paloaltonetworks.com/2017/04/unit42-new-iotlinux-malware-targets-dvrs-forms-botnet/', 'description': 'Claud Xiao, Cong Zheng, Yanhui Jia. (2017, April 6). New IoT/Linux Malware Targets DVRs, Forms Botnet. Retrieved February 19, 2018.', 'source_name': 'amnesia malware'}]","","2.1","2.1.0","['enterprise-attack']","1.0","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","Adversaries may establish persistence by executing malicious content triggered by a user’s shell. `~/.bash_profile` and `~/.bashrc` are shell scripts that contain shell commands. These files are executed in a user's context when a new shell opens or when a user logs in so that their environment is set correctly.

`~/.bash_profile` is executed for login shells and `~/.bashrc` is executed for interactive non-login shells. This means that when a user logs in (via username and password) to the console (either locally or remotely via something like SSH), the `~/.bash_profile` script is executed before the initial command prompt is returned to the user. After that, every time a new shell is opened, the `~/.bashrc` script is executed. This allows users more fine-grained control over when they want certain commands executed. These shell scripts are meant to be written to by the local user to configure their own environment.

The macOS Terminal.app is a little different in that it runs a login shell by default each time a new terminal window is opened, thus calling `~/.bash_profile` each time instead of `~/.bashrc`.

Adversaries may abuse these shell scripts by inserting arbitrary shell commands that may be used to execute other binaries to gain persistence. Every time the user logs in or opens a new shell, the modified ~/.bash_profile and/or ~/.bashrc scripts will be executed.(Citation: amnesia malware)","[{'kill_chain_name': 'mitre-attack', 'phase_name': 'privilege-escalation'}, {'kill_chain_name': 'mitre-attack', 'phase_name': 'persistence'}]","True","['User', 'Administrator']","While users may customize their <code>~/.bashrc</code> and <code>~/.bash_profile</code> files , there are only certain types of commands that typically appear in these files. Monitor for abnormal commands such as execution of unknown programs, opening network sockets, or reaching out across the network when user profiles are loaded during the login process.","['Process use of network', 'Process command-line parameters', 'Process monitoring', 'File monitoring']","['Linux', 'macOS']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","","","","","","","",""
"attack-pattern","attack-pattern--d0b4fcdb-d67d-4ed2-99ce-788b12f8c0f4","2020-02-11T18:46:56.263Z","2020-03-20T15:56:55.022Z","T1003.008","/etc/passwd and /etc/shadow","[{'url': 'https://attack.mitre.org/techniques/T1003/008', 'external_id': 'T1003.008', 'source_name': 'mitre-attack'}, {'description': 'The Linux Documentation Project. (n.d.). Linux Password and Shadow File Formats. Retrieved February 19, 2020.', 'url': 'https://www.tldp.org/LDP/lame/LAME/linux-admin-made-easy/shadow-file-formats.html', 'source_name': 'Linux Password and Shadow File Formats'}, {'description': 'Vivek Gite. (2014, September 17). Linux Password Cracking: Explain unshadow and john Commands (John the Ripper Tool). Retrieved February 19, 2020.', 'url': 'https://www.cyberciti.biz/faq/unix-linux-password-cracking-john-the-ripper/', 'source_name': 'nixCraft - John the Ripper'}]","","2.1","2.1.0","['enterprise-attack']","1.0","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","Adversaries may attempt to dump the contents of `/etc/passwd` and `/etc/shadow` to enable offline password cracking. Most modern Linux operating systems use a combination of `/etc/passwd` and `/etc/shadow` to store user account information including password hashes in `/etc/shadow`. By default, `/etc/shadow` is only readable by the root user.(Citation: Linux Password and Shadow File Formats)

The Linux utility, unshadow, can be used to combine the two files in a format suited for password cracking utilities such as John the Ripper:(Citation: nixCraft - John the Ripper) `# /usr/bin/unshadow /etc/passwd /etc/shadow > /tmp/crack.password.db`
","[{'kill_chain_name': 'mitre-attack', 'phase_name': 'credential-access'}]","True","['root']","The AuditD monitoring tool, which ships stock in many Linux distributions, can be used to watch for hostile processes attempting to access <code>/etc/passwd</code> and <code>/etc/shadow</code>, alerting on the pid, process name, and arguments of such programs.","","['Linux']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","","","","","","","",""
"attack-pattern","attack-pattern--67720091-eee3-4d2d-ae16-8264567f6f5b","2020-01-30T13:58:14.373Z","2020-06-25T19:57:54.923Z","T1548","Abuse Elevation Control Mechanism","[{'source_name': 'mitre-attack', 'external_id': 'T1548', 'url': 'https://attack.mitre.org/techniques/T1548'}]","","2.1","2.1.0","['enterprise-attack']","1.0","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","Adversaries may circumvent mechanisms designed to control elevate privileges to gain higher-level permissions. Most modern systems contain native elevation control mechanisms that are intended to limit privileges that a user can perform on a machine. Authorization has to be granted to specific users in order to perform tasks that can be considered of higher risk. An adversary can perform several methods to take advantage of built-in control mechanisms in order to escalate privileges on a system.","[{'kill_chain_name': 'mitre-attack', 'phase_name': 'privilege-escalation'}, {'kill_chain_name': 'mitre-attack', 'phase_name': 'defense-evasion'}]","False","['Administrator', 'User']","Monitor the file system for files that have the setuid or setgid bits set. Also look for any process API calls for behavior that may be indicative of [Process Injection](https://attack.mitre.org/techniques/T1055) and unusual loaded DLLs through [DLL Search Order Hijacking](https://attack.mitre.org/techniques/T1574/001), which indicate attempts to gain access to higher privileged processes. On Linux, auditd can alert every time a user's actual ID and effective ID are different (this is what happens when you sudo).

Consider monitoring for <code>/usr/libexec/security_authtrampoline</code> executions which may indicate that AuthorizationExecuteWithPrivileges is being executed. MacOS system logs may also indicate when AuthorizationExecuteWithPrivileges is being called. Monitoring OS API callbacks for the execution can also be a way to detect this behavior but requires specialized security tooling.

On Linux, auditd can alert every time a user's actual ID and effective ID are different (this is what happens when you sudo). This technique is abusing normal functionality in macOS and Linux systems, but sudo has the ability to log all input and output based on the <code>LOG_INPUT</code> and <code>LOG_OUTPUT</code> directives in the <code>/etc/sudoers</code> file.

There are many ways to perform UAC bypasses when a user is in the local administrator group on a system, so it may be difficult to target detection on all variations. Efforts should likely be placed on mitigation and collecting enough information on process launches and actions that could be performed before and after a UAC bypass is performed. Some UAC bypass methods rely on modifying specific, user-accessible Registry settings. Analysts should monitor Registry settings for unauthorized changes.","['Windows Registry', 'File monitoring', 'Process command-line parameters', 'API monitoring', 'Process monitoring']","['Linux', 'macOS', 'Windows']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","","","","","","","",""
"attack-pattern","attack-pattern--dcaa092b-7de9-4a21-977f-7fcb77e89c48","2017-12-14T16:46:06.044Z","2020-04-16T19:37:02.355Z","T1134","Access Token Manipulation","[{'source_name': 'mitre-attack', 'external_id': 'T1134', 'url': 'https://attack.mitre.org/techniques/T1134'}, {'external_id': 'CAPEC-633', 'source_name': 'capec', 'url': 'https://capec.mitre.org/data/definitions/633.html'}, {'url': 'https://pentestlab.blog/2017/04/03/token-manipulation/', 'description': 'netbiosX. (2017, April 3). Token Manipulation. Retrieved April 21, 2017.', 'source_name': 'Pentestlab Token Manipulation'}, {'url': 'https://technet.microsoft.com/en-us/windows-server-docs/identity/ad-ds/manage/component-updates/command-line-process-auditing', 'description': 'Mathers, B. (2017, March 7). Command line process auditing. Retrieved April 21, 2017.', 'source_name': 'Microsoft Command-line Logging'}, {'url': 'https://msdn.microsoft.com/en-us/library/windows/desktop/aa378184(v=vs.85).aspx', 'description': 'Microsoft TechNet. (n.d.). Retrieved April 25, 2017.', 'source_name': 'Microsoft LogonUser'}, {'url': 'https://msdn.microsoft.com/en-us/library/windows/desktop/aa446617(v=vs.85).aspx', 'description': 'Microsoft TechNet. (n.d.). Retrieved April 25, 2017.', 'source_name': 'Microsoft DuplicateTokenEx'}, {'url': 'https://msdn.microsoft.com/en-us/library/windows/desktop/aa378612(v=vs.85).aspx', 'description': 'Microsoft TechNet. (n.d.). Retrieved April 25, 2017.', 'source_name': 'Microsoft ImpersonateLoggedOnUser'}, {'url': 'https://www.blackhat.com/docs/eu-17/materials/eu-17-Atkinson-A-Process-Is-No-One-Hunting-For-Token-Manipulation.pdf', 'description': 'Atkinson, J., Winchester, R. (2017, December 7). A Process is No One: Hunting for Token Manipulation. Retrieved December 21, 2017.', 'source_name': 'BlackHat Atkinson Winchester Token Manipulation'}]","","2.1","2.1.0","['enterprise-attack']","2.0","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","Adversaries may modify access tokens to operate under a different user or system security context to perform actions and bypass access controls. Windows uses access tokens to determine the ownership of a running process. A user can manipulate access tokens to make a running process appear as though it is the child of a different process or belongs to someone other than the user that started the process. When this occurs, the process also takes on the security context associated with the new token.

An adversary can use built-in Windows API functions to copy access tokens from existing processes; this is known as token stealing. These token can then be applied to an existing process (i.e. [Token Impersonation/Theft](T1134.001)) or used to spawn a new process (i.e. [Create Process with Token](T1134.002)). An adversary must already be in a privileged user context (i.e. administrator) to steal a token. However, adversaries commonly use token stealing to elevate their security context from the administrator level to the SYSTEM level. An adversary can then use a token to authenticate to a remote system as the account for that token if the account has appropriate permissions on the remote system.(Citation: Pentestlab Token Manipulation)

Any standard user can use the `runas` command, and the Windows API functions, to create impersonation tokens; it does not require access to an administrator account. There are also other mechanisms, such as Active Directory fields, that can be used to modify access tokens.","[{'kill_chain_name': 'mitre-attack', 'phase_name': 'defense-evasion'}, {'kill_chain_name': 'mitre-attack', 'phase_name': 'privilege-escalation'}]","False","['User', 'Administrator']","If an adversary is using a standard command-line shell, analysts can detect token manipulation by auditing command-line activity. Specifically, analysts should look for use of the <code>runas</code> command. Detailed command-line logging is not enabled by default in Windows.(Citation: Microsoft Command-line Logging)

If an adversary is using a payload that calls the Windows token APIs directly, analysts can detect token manipulation only through careful analysis of user network activity, examination of running processes, and correlation with other endpoint and network behavior. 

There are many Windows API calls a payload can take advantage of to manipulate access tokens (e.g., <code>LogonUser</code> (Citation: Microsoft LogonUser), <code>DuplicateTokenEx</code>(Citation: Microsoft DuplicateTokenEx), and <code>ImpersonateLoggedOnUser</code>(Citation: Microsoft ImpersonateLoggedOnUser)). Please see the referenced Windows API pages for more information.

Query systems for process and thread token information and look for inconsistencies such as user owns processes impersonating the local SYSTEM account.(Citation: BlackHat Atkinson Winchester Token Manipulation)

Look for inconsistencies between the various fields that store PPID information, such as the EventHeader ProcessId from data collected via Event Tracing for Windows (ETW), Creator Process ID/Name from Windows event logs, and the ProcessID and ParentProcessID (which are also produced from ETW and other utilities such as Task Manager and Process Explorer). The ETW provided EventHeader ProcessId identifies the actual parent process.","['Authentication logs', 'Windows event logs', 'API monitoring', 'Access tokens', 'Process monitoring', 'Process command-line parameters']","['Windows']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['Windows User Account Control', 'System access controls', 'File system access controls', 'Heuristic Detection', 'Host forensic analysis']","['Tom Ueltschi @c_APT_ure', 'Travis Smith, Tripwire', 'Robby Winchester, @robwinchester3', 'Jared Atkinson, @jaredcatkinson']","['SYSTEM']","","","","",""
"attack-pattern","attack-pattern--9b99b83a-1aac-4e29-b975-b374950551a3","2017-05-31T21:30:26.946Z","2020-05-13T20:37:30.008Z","T1015","Accessibility Features","[{'source_name': 'mitre-attack', 'external_id': 'T1015', 'url': 'https://attack.mitre.org/techniques/T1015'}, {'external_id': 'CAPEC-558', 'source_name': 'capec', 'url': 'https://capec.mitre.org/data/definitions/558.html'}, {'url': 'https://www.fireeye.com/blog/threat-research/2012/08/hikit-rootkit-advanced-persistent-attack-techniques-part-1.html', 'description': 'Glyer, C., Kazanciyan, R. (2012, August 20). The “Hikit” Rootkit: Advanced and Persistent Attack Techniques (Part 1). Retrieved June 6, 2016.', 'source_name': 'FireEye Hikit Rootkit'}, {'url': 'https://www.slideshare.net/DennisMaldonado5/sticky-keys-to-the-kingdom', 'description': 'Maldonado, D., McGuffin, T. (2016, August 6). Sticky Keys to the Kingdom. Retrieved July 5, 2017.', 'source_name': 'DEFCON2016 Sticky Keys'}, {'url': 'http://blog.crowdstrike.com/registry-analysis-with-crowdresponse/', 'description': 'Tilbury, C. (2014, August 28). Registry Analysis with CrowdResponse. Retrieved November 12, 2014.', 'source_name': 'Tilbury 2014'}]","True","2.1","2.1.0","['enterprise-attack']","1.0","","","","","","","","","","","","","","","","","",""
"attack-pattern","attack-pattern--70e52b04-2a0c-4cea-9d18-7149f1df9dc5","2020-01-24T14:32:40.315Z","2020-05-13T20:37:30.048Z","T1546.008","Accessibility Features","[{'source_name': 'mitre-attack', 'external_id': 'T1546.008', 'url': 'https://attack.mitre.org/techniques/T1546/008'}, {'external_id': 'CAPEC-558', 'source_name': 'capec', 'url': 'https://capec.mitre.org/data/definitions/558.html'}, {'url': 'https://www.fireeye.com/blog/threat-research/2012/08/hikit-rootkit-advanced-persistent-attack-techniques-part-1.html', 'description': 'Glyer, C., Kazanciyan, R. (2012, August 20). The “Hikit” Rootkit: Advanced and Persistent Attack Techniques (Part 1). Retrieved June 6, 2016.', 'source_name': 'FireEye Hikit Rootkit'}, {'url': 'https://www.slideshare.net/DennisMaldonado5/sticky-keys-to-the-kingdom', 'description': 'Maldonado, D., McGuffin, T. (2016, August 6). Sticky Keys to the Kingdom. Retrieved July 5, 2017.', 'source_name': 'DEFCON2016 Sticky Keys'}, {'url': 'http://blog.crowdstrike.com/registry-analysis-with-crowdresponse/', 'description': 'Tilbury, C. (2014, August 28). Registry Analysis with CrowdResponse. Retrieved November 12, 2014.', 'source_name': 'Tilbury 2014'}, {'source_name': 'Narrator Accessibility Abuse', 'url': 'https://giuliocomi.blogspot.com/2019/10/abusing-windows-10-narrators-feedback.html', 'description': ""Comi, G. (2019, October 19). Abusing Windows 10 Narrator's 'Feedback-Hub' URI for Fileless Persistence. Retrieved April 28, 2020.""}]","","2.1","2.1.0","['enterprise-attack']","1.0","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","Adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by accessibility features. Windows contains accessibility features that may be launched with a key combination before a user has logged in (ex: when the user is on the Windows logon screen). An adversary can modify the way these programs are launched to get a command prompt or backdoor without logging in to the system.

Two common accessibility programs are `C:\Windows\System32\sethc.exe`, launched when the shift key is pressed five times and `C:\Windows\System32\utilman.exe`, launched when the Windows + U key combination is pressed. The sethc.exe program is often referred to as ""sticky keys"", and has been used by adversaries for unauthenticated access through a remote desktop login screen. (Citation: FireEye Hikit Rootkit)

Depending on the version of Windows, an adversary may take advantage of these features in different ways. Common methods used by adversaries include replacing accessibility feature binaries or pointers/references to these binaries in the Registry. In newer versions of Windows, the replaced binary needs to be digitally signed for x64 systems, the binary must reside in `%systemdir%\`, and it must be protected by Windows File or Resource Protection (WFP/WRP). (Citation: DEFCON2016 Sticky Keys) The [Image File Execution Options Injection](T1546.012) debugger method was likely discovered as a potential workaround because it does not require the corresponding accessibility feature binary to be replaced.

For simple binary replacement on Windows XP and later as well as and Windows Server 2003/R2 and later, for example, the program (e.g., `C:\Windows\System32\utilman.exe`) may be replaced with ""cmd.exe"" (or another program that provides backdoor access). Subsequently, pressing the appropriate key combination at the login screen while sitting at the keyboard or when connected over [Remote Desktop Protocol](T1021.001) will cause the replaced file to be executed with SYSTEM privileges. (Citation: Tilbury 2014)

Other accessibility features exist that may also be leveraged in a similar fashion: (Citation: DEFCON2016 Sticky Keys)(Citation: Narrator Accessibility Abuse)

* On-Screen Keyboard: `C:\Windows\System32\osk.exe`
* Magnifier: `C:\Windows\System32\Magnify.exe`
* Narrator: `C:\Windows\System32\Narrator.exe`
* Display Switcher: `C:\Windows\System32\DisplaySwitch.exe`
* App Switcher: `C:\Windows\System32\AtBroker.exe`","[{'kill_chain_name': 'mitre-attack', 'phase_name': 'privilege-escalation'}, {'kill_chain_name': 'mitre-attack', 'phase_name': 'persistence'}]","True","['Administrator']","Changes to accessibility utility binaries or binary paths that do not correlate with known software, patch cycles, etc., are suspicious. Command line invocation of tools capable of modifying the Registry for associated keys are also suspicious. Utility arguments and the binaries themselves should be monitored for changes. Monitor Registry keys within <code>HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options</code>.","['Process command-line parameters', 'Process monitoring', 'File monitoring', 'Windows Registry']","['Windows']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","","['Paul Speulstra, AECOM Global Security Operations Center']","['SYSTEM']","","","","",""
"attack-pattern","attack-pattern--b24e2a20-3b3d-4bf0-823b-1ed765398fb0","2019-10-09T18:48:31.906Z","2019-10-14T23:29:24.908Z","T1531","Account Access Removal","[{'url': 'https://attack.mitre.org/techniques/T1531', 'source_name': 'mitre-attack', 'external_id': 'T1531'}, {'description': 'CarbonBlack Threat Analysis Unit. (2019, March 22). TAU Threat Intelligence Notification – LockerGoga Ransomware. Retrieved April 16, 2019.', 'url': 'https://www.carbonblack.com/2019/03/22/tau-threat-intelligence-notification-lockergoga-ransomware/', 'source_name': 'CarbonBlack LockerGoga 2019'}, {'source_name': 'Unit42 LockerGoga 2019', 'url': 'https://unit42.paloaltonetworks.com/born-this-way-origins-of-lockergoga/', 'description': 'Harbison, M.. (2019, March 26). Born This Way? Origins of LockerGoga. Retrieved April 16, 2019.'}]","","2.1","2.1.0","['enterprise-attack']","1.0","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","Adversaries may interrupt availability of system and network resources by inhibiting access to accounts utilized by legitimate users. Accounts may be deleted, locked, or manipulated (ex: changed credentials) to remove access to accounts.

Adversaries may also subsequently log off and/or reboot boxes to set malicious changes into place.(Citation: CarbonBlack LockerGoga 2019)(Citation: Unit42 LockerGoga 2019)","[{'kill_chain_name': 'mitre-attack', 'phase_name': 'impact'}]","","['User', 'Administrator', 'root', 'SYSTEM']","Use process monitoring to monitor the execution and command line parameters of binaries involved in deleting accounts or changing passwords, such as use of [Net](https://attack.mitre.org/software/S0039). Windows event logs may also designate activity associated with an adversary's attempt to remove access to an account:

* Event ID 4723 - An attempt was made to change an account's password
* Event ID 4724 - An attempt was made to reset an account's password
* Event ID 4726 - A user account was deleted
* Event ID 4740 - A user account was locked out

Alerting on [Net](https://attack.mitre.org/software/S0039) and these Event IDs may generate a high degree of false positives, so compare against baseline knowledge for how systems are typically used and correlate modification events with other indications of malicious activity where possible.","['Windows event logs', 'Process command-line parameters', 'Process monitoring']","['Linux', 'macOS', 'Windows']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","","","","['Availability']","","","",""
"attack-pattern","attack-pattern--72b74d71-8169-42aa-92e0-e7b04b9f5a08","2017-05-31T21:31:06.988Z","2020-03-26T15:27:59.127Z","T1087","Account Discovery","[{'source_name': 'mitre-attack', 'external_id': 'T1087', 'url': 'https://attack.mitre.org/techniques/T1087'}]","","2.1","2.1.0","['enterprise-attack']","2.1","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","Adversaries may attempt to get a listing of accounts on a system or within an environment. This information can help adversaries determine which accounts exist to aid in follow-on behavior.","[{'kill_chain_name': 'mitre-attack', 'phase_name': 'discovery'}]","False","['User']","System and network discovery techniques normally occur throughout an operation as an adversary learns the environment. Data and events should not be viewed in isolation, but as part of a chain of behavior that could lead to other activities, such as Lateral Movement, based on the information obtained.

Monitor processes and command-line arguments for actions that could be taken to gather system and network information. Remote access tools with built-in features may interact directly with the Windows API to gather information. Information may also be acquired through Windows system management tools such as [Windows Management Instrumentation](https://attack.mitre.org/techniques/T1047) and [PowerShell](https://attack.mitre.org/techniques/T1059/001).","['Azure activity logs', 'Office 365 account logs', 'API monitoring', 'Process monitoring', 'Process command-line parameters']","['Linux', 'macOS', 'Windows', 'Office 365', 'Azure AD', 'AWS', 'GCP', 'Azure', 'SaaS']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","","['Microsoft Threat Intelligence Center (MSTIC)', 'Travis Smith, Tripwire']","","","","","",""
"attack-pattern","attack-pattern--a10641f4-87b4-45a3-a906-92a149cb2c27","2017-05-31T21:31:12.196Z","2020-06-25T16:32:23.685Z","T1098","Account Manipulation","[{'source_name': 'mitre-attack', 'external_id': 'T1098', 'url': 'https://attack.mitre.org/techniques/T1098'}, {'source_name': 'Microsoft User Modified Event', 'description': 'Lich, B., Miroshnikov, A. (2017, April 5). 4738(S): A user account was changed. Retrieved June 30, 2017.', 'url': 'https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4738'}, {'description': 'Franklin Smith, R. (n.d.). Windows Security Log Event ID 4670. Retrieved November 4, 2019.', 'url': 'https://www.ultimatewindowssecurity.com/securitylog/encyclopedia/event.aspx?eventID=4670', 'source_name': 'Microsoft Security Event 4670'}, {'url': 'https://blog.stealthbits.com/manipulating-user-passwords-with-mimikatz-SetNTLM-ChangeNTLM', 'description': 'Warren, J. (2017, July 11). Manipulating User Passwords with Mimikatz. Retrieved December 4, 2017.', 'source_name': 'InsiderThreat ChangeNTLM July 2017'}, {'url': 'https://github.com/gentilkiwi/mimikatz/issues/92', 'description': 'Warren, J. (2017, June 22). lsadump::changentlm and lsadump::setntlm work, but generate Windows events #92. Retrieved December 4, 2017.', 'source_name': 'GitHub Mimikatz Issue 92 June 2017'}]","","2.1","2.1.0","['enterprise-attack']","2.1","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","Adversaries may manipulate accounts to maintain access to victim systems. Account manipulation may consist of any action that preserves adversary access to a compromised account, such as modifying credentials or permission groups. These actions could also include account activity designed to subvert security policies, such as performing iterative password updates to bypass password duration policies and preserve the life of compromised credentials. In order to create or manipulate accounts, the adversary must already have sufficient permissions on systems or the domain.","[{'kill_chain_name': 'mitre-attack', 'phase_name': 'persistence'}]","False","","Collect events that correlate with changes to account objects and/or permissions on systems and the domain, such as event IDs 4738, 4728 and 4670.(Citation: Microsoft User Modified Event)(Citation: Microsoft Security Event 4670)(Citation: Microsoft Security Event 4670) Monitor for modification of accounts in correlation with other suspicious activity. Changes may occur at unusual times or from unusual systems. Especially flag events where the subject and target accounts differ(Citation: InsiderThreat ChangeNTLM July 2017) or that include additional flags such as changing a password without knowledge of the old password.(Citation: GitHub Mimikatz Issue 92 June 2017)

Monitor for use of credentials at unusual times or to unusual systems or services. This may also correlate with other suspicious activity.

Monitor for unusual permissions changes that may indicate excessively broad permissions being granted to compromised accounts.","['Authentication logs', 'Windows event logs']","['Windows', 'Office 365', 'Azure', 'GCP', 'Azure AD', 'AWS', 'Linux', 'macOS']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","","['Jannie Li, Microsoft Threat Intelligence\u202fCenter\u202f(MSTIC)', 'Praetorian', 'Tim MalcomVetter']","","","","","",""
